ID,stream,position,trap,time,order,suborder,family,subfamily,genus,species,dry mass (mg),,
46,Triefenbach,down,2,2018-03-29,Plecoptera,,Nemouridae,,Nemurella,pictetii,1.7842,,
47,Triefenbach,down,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,1.8194,,
48,Kaiserbach,up,2,2018-03-26,Diptera,Nematocera,Simuliidae,,,,0.9689,,
49,Dierbach,up,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.7413,,
50,Isenach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,3.5119,,
51,Modenbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.0523,,
52,Otterbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.3159,,
53,Dierbach,up,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.2357,,
55,Hainbach,up,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,0.7818,,
58,Triefenbach,down,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,0.8462,,
59,Kaiserbach,down,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,2.2257,,
60,Dierbach,up,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.1465,,
61,Russbach,up,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.5896,,
62,Modenbach,down,1,2018-03-22,Diptera,Nematocera,Psychodidae,,,,0.0169,,
63,Otterbach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.3956,,
64,Dierbach,down,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,1.0071,,
65,Hainbach,down,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,2.0944,,
67,Hainbach,up,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,0.1057,,
69,Kropsbach,up,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,2.3908,,
71,Kaiserbach,down,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,2.0364,,
72,Dierbach,down,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.3407,,
73,Russbach,up,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.417,,
74,Triefenbach,up,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.2951,,
75,Dierbach,up,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.2413,,
77,Dierbach,down,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.4126,,
79,Isenach,up,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.2573,,
80,Hainbach,down,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,5.7693,,
81,Kropsbach,up,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,0.6774,,
82,Isenach,up,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,0.7003,,
83,Dierbach,down,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.9894,,
85,Triefenbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.0415,,
86,Klingbach,up,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,2.2436,,
87,Kaiserbach,down,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.1889,,
88,Isenach,down,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,1.1048,,
89,Isenach,up,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,0.1003,,
90,Triefenbach,down,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.5119,,
92,Klingbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,14.1571,,
93,Kropsbach,down,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,19.9087,,
94,Isenach,down,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,3.9794,,
95,Klingbach,up,2,2018-03-26,Ephemeroptera,,Baetidae,,Baetis,,2.455,,
97,Klingbach,up,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,21.6977,,
99,Isenach,down,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,10.2589,,
101,Russbach,down,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,14.8309,,
104,Kropsbach,down,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,12.1096,,
105,Klingbach,up,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,11.9846,,
107,Hainbach,down,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,5.3429,,
109,Russbach,down,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,10.2836,,
110,Modenbach,up,2,2018-04-03,Diptera,Nematocera,Chironomidae,,,,0.9138,,
111,Klingbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,2.1463,,
112,Klingbach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,4.9496,,
113,Kaiserbach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.2091,,
115,Kaiserbach,up,2,2018-04-16,Diptera,Nematocera,Simuliidae,,,,0.3216,,
116,Isenach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,3.7875,,
117,Isenach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.4016,,
119,Triefenbach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.4874,,
120,Triefenbach,up,2,2018-04-16,Plecoptera,,Taeniopterygidae,,Brachyptera,,6.4942,,
122,Dierbach,down,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.2457,,
123,Dierbach,down,2,2018-04-16,Diptera,Nematocera,Simuliidae,,,,0.6789,,
126,Isenach,up,2,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,5.2999,,
128,Isenach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.3803,,
130,Dierbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.3482,,
131,Dierbach,up,1,2018-04-16,Diptera,Nematocera,Simuliidae,,,,7.2864,,
132,Dierbach,up,1,2018-04-16,Plecoptera,,Leuctridae,,Leuctra,,0.8475,,
134,Kaiserbach,down,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,2.1903,,
135,Kaiserbach,down,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,1.6728,,
136,Isenach,down,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,2.5344,,
137,Isenach,down,1,2018-04-16,Diptera,Nematocera,Psychodidae,,,,0.6024,,
139,Isenach,down,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,20.2898,,
143,Isenach,up,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,4.4166,,
145,Dierbach,down,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,2.8979,,
148,Otterbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.2958,,
149,Otterbach,up,1,2018-04-16,Diptera,Nematocera,Dixidae,,,,0.3699,,
150,Otterbach,up,1,2018-04-16,Plecoptera,,Leuctridae,,Leuctra,,0.4292,,
153,Klingbach,down,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.0871,,
156,Russbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.3482,,
157,Russbach,up,1,2018-04-16,Plecoptera,,Leuctridae,,Leuctra,,0.8563,,
158,Russbach,down,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,8.3201,,
160,Russbach,down,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,2.68,,
164,Otterbach,down,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,2.9598,,
167,Otterbach,down,2,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,2.6072,,
169,Russbach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.1798,,
170,Russbach,up,2,2018-04-16,Ephemeroptera,,,,,,2.028,,
171,Russbach,up,2,2018-04-16,Plecoptera,,Leuctridae,,Leuctra,,0.3816,,
172,Modenbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.5173,,
173,Modenbach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,5.9059,,
174,Modenbach,up,1,2018-04-16,Plecoptera,,Taeniopterygidae,,Brachyptera,,4.2547,,
175,Modenbach,up,1,2018-04-16,Trichoptera,,Rhyacophilidae,,Rhyacophila,,4.6512,,
177,Hainbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,1.1552,,
180,Hainbach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,1.9468,,
181,Hainbach,up,1,2018-04-16,Diptera,Nematocera,Simuliidae,,,,0.5791,,
182,Hainbach,up,1,2018-04-16,Plecoptera,,Nemouridae,,Nemoura,,0.7203,,
186,Dierbach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,2.8597,,
187,Dierbach,up,2,2018-04-16,Plecoptera,,Taeniopterygidae,,Brachyptera,,3.8483,,
188,Dierbach,up,2,2018-04-16,Plecoptera,,Leuctridae,,Leuctra,,0.7128,,
190,Triefenbach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,4.6592,,
191,Triefenbach,up,1,2018-04-16,Plecoptera,,Nemouridae,,Nemoura,,0.8538,,
192,Triefenbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,1.2069,,
194,Klingbach,down,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,11.8717,,
195,Klingbach,down,2,2018-04-16,Diptera,Nematocera,Psychodidae,,,,0.8558,,
200,Klingbach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,5.4368,,
203,Klingbach,up,2,2018-04-16,Ephemeroptera,,,,,,2.0074,,
205,Isenach,down,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,25.009,,
208,Isenach,down,2,2018-04-16,Diptera,Nematocera,Psychodidae,,,,0.803,,
209,Isenach,down,2,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,1.1787,,
210,Isenach,down,2,2018-04-16,Diptera,Nematocera,Ceratopogonidae,,,,0.0833,,
213,Isenach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,16.5174,,
216,Isenach,down,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1.6809,,
218,Hainbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,3.2829,,
219,Hainbach,down,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,53.3943,,
220,Hainbach,down,2,2018-04-19,Diptera,Nematocera,Simuliidae,,,,0.6038,,
222,Hainbach,down,2,2018-04-19,Diptera,Brachycera,Empididae,,,,1.4716,,
223,Isenach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,18.0162,,
226,Isenach,down,2,2018-04-19,Diptera,Nematocera,Psychodidae,,,,0.1242,,
227,Isenach,down,2,2018-04-19,Diptera,Nematocera,Ceratopogonidae,,,,0.1174,,
228,Modenbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.5474,,
229,Modenbach,up,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,25.0857,,
230,Modenbach,up,2,2018-04-19,Trichoptera,,,,,,3.0668,,
231,Isenach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,2.0752,,
233,Isenach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,2.0171,,
234,Isenach,up,1,2018-04-19,Plecoptera,,Taeniopterygidae,,Brachyptera,,11.4549,,
235,Isenach,up,1,2018-04-19,Trichoptera,,Goeridae,,,,3.4895,,
237,Kaiserbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,2.5066,,
238,Kaiserbach,down,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,13.4339,,
239,Kaiserbach,down,2,2018-04-19,Diptera,Brachycera,Empididae,,,,1.2485,,
241,Dierbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,1.9306,,
245,Russbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.1452,,
247,Russbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.1402,,
249,Otterbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.0992,,
250,Kaiserbach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,29.8134,,
252,Kaiserbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,0.0389,,
253,Kaiserbach,up,1,2018-04-16,Diptera,Nematocera,Simuliidae,,,,1.2315,,
254,Kaiserbach,up,1,2018-04-16,Plecoptera,,Nemouridae,,Nemoura,,1.0967,,
257,Otterbach,down,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,5.0834,,
258,Otterbach,down,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,2.6629,,
260,Modenbach,up,1,2018-04-23,Ephemeroptera,,Baetidae,,Baetis,,6.9866,,
261,Modenbach,up,1,2018-04-23,Plecoptera,,Nemouridae,,Nemurella,pictetii,1.8796,,
262,Modenbach,up,1,2018-04-23,Diptera,Nematocera,Simuliidae,,,,0.7386,,
264,Hainbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,3.7131,,
265,Hainbach,down,1,2018-04-19,Diptera,Nematocera,Simuliidae,,,,3.1315,,
266,Hainbach,down,1,2018-04-19,Diptera,Brachycera,Empididae,,,,5.3749,,
269,Kropsbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.1111,,
270,Kropsbach,up,2,2018-04-19,Ephemeroptera,,,,,,0.9577,,
273,Dierbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,1.3336,,
274,Dierbach,down,2,2018-04-19,Diptera,Nematocera,Simuliidae,,,,0.5094,,
277,Triefenbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.4402,,
278,Triefenbach,down,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1.824,,
280,Triefenbach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,1.1119,,
281,Triefenbach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1.7494,,
282,Modenbach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.7625,,
283,Modenbach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,15.4357,,
284,Modenbach,up,1,2018-04-19,Trichoptera,,,,,,6.6377,,
285,Modenbach,up,1,2018-04-19,Plecoptera,,Nemouridae,,Protonemura,,0.7041,,
286,Modenbach,up,1,2018-04-19,Plecoptera,,Taeniopterygidae,,Brachyptera,,3.7884,,
287,Triefenbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,1.3442,,
289,Triefenbach,down,2,2018-04-19,Diptera,Nematocera,Simuliidae,,,,1.6207,,
290,Triefenbach,down,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1.5202,,
292,Modenbach,down,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,3.1014,,
293,Modenbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.7693,,
297,Modenbach,down,1,2018-04-19,Diptera,Brachycera,Empididae,,,,3.4587,,
298,Dierbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,4.835,,
300,Dierbach,up,2,2018-04-19,Plecoptera,,Nemouridae,,Nemurella,pictetii,0.7681,,
302,Modenbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.4039,,
303,Modenbach,down,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,13.7131,,
306,Otterbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.1606,,
307,Otterbach,down,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,2.1436,,
308,Russbach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,2.1205,,
309,Russbach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.1561,,
311,Dierbach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,2.1304,,
312,Dierbach,up,1,2018-04-19,Diptera,Nematocera,Simuliidae,,,,2.6125,,
313,Dierbach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1.7101,,
314,Dierbach,up,1,2018-04-19,Plecoptera,,Leuctridae,,,,7.0959,,
315,Dierbach,up,1,2018-04-19,Plecoptera,,Nemouridae,,Nemoura,,0.8762,,
318,Hainbach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,1.4108,,
319,Hainbach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,2.0365,,
320,Hainbach,up,1,2018-04-19,Diptera,Nematocera,Simuliidae,,,,0.7604,,
321,Hainbach,up,1,2018-04-19,Diptera,Brachycera,Empididae,,,,0.2966,,
324,Klingbach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,3.2437,,
326,Klingbach,up,1,2018-04-19,Diptera,Brachycera,Empididae,,,,0.4281,,
327,Klingbach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,0.8543,,
329,Kaiserbach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,10.4531,,
330,Kaiserbach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.1645,,
335,Hainbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,15.3153,,
338,Klingbach,down,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,3.4062,,
341,Hainbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.0848,,
342,Triefenbach,up,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,4.3365,,
343,Triefenbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.1338,,
344,Triefenbach,up,2,2018-04-19,Trichoptera,,Goeridae,,,,2.8107,,
345,Klingbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.983,,
347,Russbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.5252,,
349,Kropsbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,19.0337,,
352,Klingbach,down,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,8.3784,,
353,Klingbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.2896,,
355,Otterbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,1.9838,,
357,Otterbach,down,2,2018-04-19,Diptera,Nematocera,Psychodidae,,,,0.4272,,
358,Otterbach,down,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1.6415,,
361,Kaiserbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.6113,,
363,Klingbach,up,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,4.352,,
364,Klingbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,4.4554,,
365,Kropsbach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.6737,,
367,Kropsbach,up,1,2018-04-19,Plecoptera,,Taeniopterygidae,,Brachyptera,,10.5885,,
369,Otterbach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,0.864,,
370,Otterbach,up,1,2018-04-19,Diptera,Nematocera,Simuliidae,,,,0.5123,,
371,Otterbach,up,1,2018-04-19,Diptera,Nematocera,Dixidae,,,,0.9745,,
372,Otterbach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,0.2229,,
374,Russbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,6.5296,,
377,Russbach,down,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,6.1576,,
379,Russbach,up,1,2018-04-23,Ephemeroptera,,Baetidae,,Baetis,,1.8191,,
380,Russbach,up,1,2018-04-23,Diptera,Nematocera,Simuliidae,,,,0.5652,,
382,Kaiserbach,up,1,2018-04-23,Ephemeroptera,,Baetidae,,Baetis,,8.5624,,
383,Kaiserbach,up,1,2018-04-23,Diptera,Nematocera,Simuliidae,,,,1.0739,,
384,Kaiserbach,up,1,2018-04-23,Diptera,Nematocera,Chironomidae,,,,0.1033,,
386,Isenach,down,1,2018-04-23,Diptera,Nematocera,Chironomidae,,,,8.1464,,
389,Triefenbach,up,1,2018-04-23,Diptera,Nematocera,Chironomidae,,,,0.0589,,
390,Triefenbach,up,1,2018-04-23,Diptera,Brachycera,Empididae,,,,0.2603,,
391,Isenach,down,2,2018-04-23,Diptera,Nematocera,Chironomidae,,,,21.7247,,
394,Isenach,down,2,2018-04-23,Diptera,Nematocera,Psychodidae,,,,0.6158,,
395,Hainbach,down,2,2018-04-23,Diptera,Nematocera,Chironomidae,,,,15.6856,,
398,Hainbach,down,2,2018-04-23,Diptera,Nematocera,Simuliidae,,,,0.8999,,
399,Hainbach,down,2,2018-04-23,Diptera,Nematocera,Ceratopogonidae,,,,0.0506,,
401,Hainbach,up,1,2018-04-23,Diptera,Nematocera,Simuliidae,,,,0.7101,,
403,Modenbach,up,2,2018-04-23,Ephemeroptera,,Baetidae,,Baetis,,13.5468,,
404,Modenbach,up,2,2018-04-23,Diptera,Nematocera,Chironomidae,,,,0.3536,,
406,Modenbach,up,2,2018-04-23,Plecoptera,,Nemouridae,,Protonemura,,2.8449,,
409,Russbach,down,1,2018-04-23,Diptera,Nematocera,Chironomidae,,,,8.3285,,
410,Russbach,down,1,2018-04-23,Ephemeroptera,,Baetidae,,Baetis,,1.9968,,
412,Russbach,down,1,2018-04-23,Diptera,Brachycera,Empididae,,,,1.311,,
415,Otterbach,down,2,2018-04-23,Diptera,Nematocera,Chironomidae,,,,1.3337,,
416,Otterbach,down,2,2018-04-23,Ephemeroptera,,Baetidae,,Baetis,,44.5554,,
418,Isenach,down,2,2018-04-06,Diptera,Nematocera,Chironomidae,,,,10.0492,,
420,Isenach,down,2,2018-04-06,Ephemeroptera,,Baetidae,,Baetis,,8.489,,
422,Russbach,down,2,2018-04-06,Diptera,Nematocera,Chironomidae,,,,10.7858,,
423,Russbach,down,2,2018-04-06,Ephemeroptera,,Baetidae,,Baetis,,7.2852,,
426,Isenach,down,1,2018-04-06,Diptera,Nematocera,Chironomidae,,,,13.562,,
429,Modenbach,down,1,2018-04-06,Diptera,Nematocera,Chironomidae,,,,2.4324,,
430,Modenbach,down,2,2018-04-06,Diptera,Nematocera,Chironomidae,,,,5.1057,,
432,Kropsbach,up,1,2018-04-06,Diptera,Nematocera,Simuliidae,,,,0.6875,,
433,Kropsbach,up,1,2018-04-06,Diptera,Nematocera,Chironomidae,,,,3.6733,,
435,Triefenbach,down,1,2018-04-06,Diptera,Nematocera,Simuliidae,,,,0.9692,,
436,Triefenbach,down,1,2018-04-06,Diptera,Nematocera,Chironomidae,,,,6.1887,,
437,Russbach,down,1,2018-04-06,Diptera,Nematocera,Chironomidae,,,,1.6989,,
438,Dierbach,down,1,2018-04-06,Diptera,Nematocera,Simuliidae,,,,1.7086,,
439,Dierbach,down,1,2018-04-06,Diptera,Nematocera,Chironomidae,,,,0.3559,,
440,Triefenbach,up,1,2018-04-06,Diptera,Nematocera,Chironomidae,,,,0.534,,
441,Isenach,up,1,2018-04-06,Diptera,Nematocera,Chironomidae,,,,1.3615,,
442,Isenach,up,2,2018-04-06,Diptera,Nematocera,Chironomidae,,,,0.3694,,
444,Russbach,up,2,2018-04-06,Ephemeroptera,,Baetidae,,Baetis,,2.1944,,
445,Russbach,up,2,2018-04-06,Diptera,Nematocera,Chironomidae,,,,0.1109,,
446,Otterbach,up,1,2018-04-06,Diptera,Nematocera,Chironomidae,,,,0.5235,,
447,Kropsbach,up,2,2018-04-06,Diptera,Nematocera,Simuliidae,,,,0.6055,,
448,Kropsbach,up,2,2018-04-06,Diptera,Nematocera,Chironomidae,,,,0.3853,,
450,Triefenbach,up,2,2018-04-06,Diptera,Nematocera,Chironomidae,,,,0.8478,,
451,Russbach,up,1,2018-04-06,Diptera,Nematocera,Chironomidae,,,,0.2311,,
453,Dierbach,up,1,2018-04-06,Ephemeroptera,,Baetidae,,Baetis,,2.6747,,
454,Dierbach,up,1,2018-04-06,Diptera,Nematocera,Chironomidae,,,,0.0867,,
455,Dierbach,up,1,2018-04-06,Plecoptera,,Taeniopterygidae,,Brachyptera,,2.7676,,
456,Modenbach,up,2,2018-04-06,Diptera,Nematocera,Chironomidae,,,,0.7458,,
458,Dierbach,down,2,2018-04-06,Diptera,Nematocera,Limoniidae,,,,0.6678,,
459,Dierbach,down,2,2018-04-06,Diptera,Nematocera,Chironomidae,,,,2.4211,,
