ID,stream,position,trap,time,order,suborder,family,subfamily,genus,species,number,comment,label on Eppi (y/n),same as in table,
31,Modenbach,up,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,2,,,,
32,Triefenbach,up,2,2018-03-29,Collembola,,,,,,1,Sonstige,y,y,
33,Triefenbach,up,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,1,,,,
34,Modenbach,down,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,7,,,,
35,Triefenbach,up,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,9,,,,
36,Kaiserbach,up,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,4,kein guter Zustand der Chiros,,,
37,Kaiserbach,up,1,2018-03-26,Diptera,Nematocera,Simuliidae,,,,1,"Kopf fehlt, nur erkennbar, dass Diptera",,,
38,Otterbach,down,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,6,,,,
39,Otterbach,down,2,2018-03-26,Ephemeroptera,,Baetidae,,Baetis,,3,,,,
40,Kropsbach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,6,,,,
41,Hainbach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,1,,,,
42,Otterbach,up,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,1,,,,
43,Dierbach,up,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,4,,,,
44,Hainbach,down,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,10,,,,
45,Triefenbach,down,2,2018-03-29,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
46,Triefenbach,down,2,2018-03-29,Plecoptera,,Nemouridae,,Nemurella,pictetii,1,noch mal mit neuem schlüssel nachgucken,,,
47,Triefenbach,down,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,21,,,,
48,Kaiserbach,up,2,2018-03-26,Diptera,Nematocera,Simuliidae,,,,1,,,,
49,Dierbach,up,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,6,,,,
50,Isenach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,14,,,,
51,Modenbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,1,,,,
52,Otterbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,3,,,,
53,Dierbach,up,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,6,,,,
54,Hainbach,up,2,2018-03-29,Diptera,Nematocera,Simuliidae,,,,1,Fühler nicht so gut erkennbar: wahrscheinlich Brachycera oder Simuliidae,,,
55,Hainbach,up,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,5,,,,
56,Hainbach,up,1,2018-03-27,Arachnida,,Araneae,,,,1,Sonstige,y,y,
57,Hainbach,up,1,2018-03-27,Collembola,,,,,,44,"Sonstige, manche kaputt, verloren bei umfüllen in eppi",,,
58,Triefenbach,down,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,10,,,,
59,Kaiserbach,down,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,15,,,,
60,Dierbach,up,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,1,,,,
61,Russbach,up,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,6,,,,
62,Modenbach,down,1,2018-03-22,Diptera,Nematocera,Psychodidae,,,,1,,,,
63,Otterbach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,2,,,,
64,Dierbach,down,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,12,,,,
65,Hainbach,down,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,47,,,,
66,Hainbach,up,2,2018-03-27,Diptera,Brachycera,,,,,1,,,,
67,Hainbach,up,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,1,,,,
68,Hainbach,up,2,2018-03-27,Coleoptera,,,,,,1,,,,
69,Kropsbach,up,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,16,,,,
70,Kaiserbach,down,2,2018-03-26,Diptera,Nematocera,Cecidomyiidae,,,,1,,,,
71,Kaiserbach,down,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,18,,,,
72,Dierbach,down,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,6,,,,
73,Russbach,up,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,4,,,,
74,Triefenbach,up,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,1,,,,
75,Dierbach,up,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,1,,,,
76,Dierbach,down,2,2018-03-29,Collembola,,,,,,3,,y,y,
77,Dierbach,down,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,3,,,,
78,Dierbach,down,2,2018-03-29,Diptera,Nematocera,Simuliidae,,,,2,Fühler nicht so gut erkennbar: wahrscheinlich Brachycera oder Simuliidae,,,
79,Isenach,up,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,2,,,,
80,Hainbach,down,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,39,,,,
81,Kropsbach,up,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,7,,,,
82,Isenach,up,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,2,,,,
83,Dierbach,down,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,5,,,,
84,Dierbach,down,2,2018-03-26,Collembola,,,,,,2,Sonstige,,,
85,Triefenbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,1,,,,
86,Klingbach,up,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,5,,,,
87,Kaiserbach,down,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,2,,,,
88,Isenach,down,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,10,,,,
89,Isenach,up,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,1,,,,
90,Triefenbach,down,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,1,,,,
91,Klingbach,up,2,2018-03-22,Diptera,Brachycera,,,,,1,,,,
92,Klingbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,28,,,,
93,Kropsbach,down,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,54,,,,
94,Isenach,down,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,24,,,,
95,Klingbach,up,2,2018-03-26,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
96,Klingbach,up,2,2018-03-26,Coleoptera,,,,,,2,,y,y,
97,Klingbach,up,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,62,,,,
98,Isenach,down,2,2018-03-27,Arachnida,,Araneae,,,,1,,y,y,
99,Isenach,down,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,46,,,,
100,Russbach,down,1,2018-03-26,Coleoptera,,,,,,1,,y,y,
101,Russbach,down,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,60,,,,
102,Kropsbach,down,2,2018-03-27,Arachnida,,Araneae,,,,1,,y,y,
103,Kropsbach,down,2,2018-03-27,Coleoptera,,,,,,1,,n,n,
104,Kropsbach,down,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,35,"wahrscheinlich teilweise schon anverdaut von spinne, deswegen besser nicht für nalyse nehmen",,,
105,Klingbach,up,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,22,,,,
106,Hainbach,down,2,2018-03-27,Coleoptera,,,,,,1,,y,y,
107,Hainbach,down,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,47,,,,
108,Russbach,down,2,2018-03-26,Coleoptera,,,,,,2,,y,y,
109,Russbach,down,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,8,,,,
110,Modenbach,up,2,2018-04-03,Diptera,Nematocera,Chironomidae,,,,6,,,,
111,Klingbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,13,,,,
112,Klingbach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,2,,,,
113,Kaiserbach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,3,,,,
114,Kaiserbach,up,2,2018-04-16,Diptera,Brachycera,,,,,3,,,,
115,Kaiserbach,up,2,2018-04-16,Diptera,Nematocera,Simuliidae,,,,1,,,,
116,Isenach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
117,Isenach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,8,,,,
118,Isenach,up,1,2018-04-16,Coleoptera,,,,,,1,,y,Russbach up 1 18/04/18,
119,Triefenbach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,13,,,,
120,Triefenbach,up,2,2018-04-16,Plecoptera,,Taeniopterygidae,,Brachyptera,,2,,,,
121,Dierbach,down,2,2018-04-16,Arachnida,,Araneae,,,,1,,y,y,
122,Dierbach,down,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,8,,,,
123,Dierbach,down,2,2018-04-16,Diptera,Nematocera,Simuliidae,,,,1,,,,
124,Dierbach,down,2,2018-04-16,Coleoptera,,,,,,7,,n,,
125,Dierbach,down,2,2018-04-16,Collembola,,,,,,1,,,,
126,Isenach,up,2,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,2,,,,
127,Isenach,up,2,2018-04-16,Coleoptera,,,,,,1,,y,"Russbachup216/04/18
",
128,Isenach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,3,,,,
129,Dierbach,up,1,2018-04-16,Coleoptera,,,,,,1,,y,y,
130,Dierbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,3,,,,
131,Dierbach,up,1,2018-04-16,Diptera,Nematocera,Simuliidae,,,,8,,,,
132,Dierbach,up,1,2018-04-16,Plecoptera,,Leuctridae,,Leuctra,,1,,,,
133,Kaiserbach,down,1,2018-04-16,Coleoptera,,,,,,3,,,,
134,Kaiserbach,down,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,1,,y,y,
135,Kaiserbach,down,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,14,,,,
136,Isenach,down,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,2,,Labelled as Russ down 1 18/04/28,,
137,Isenach,down,1,2018-04-16,Diptera,Nematocera,Psychodidae,,,,1,,,,
138,Isenach,down,1,2018-04-16,Diptera,Brachycera,,,,,1,,,,
139,Isenach,down,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,132,,,,
140,Isenach,down,1,2018-04-16,Coleoptera,,,,,,25,,n,,
141,Isenach,down,1,2018-04-16,Raupe,,,,,,1,,,,
142,Isenach,up,2,2018-04-19,Hymenoptera,,,,,,1,,y,Isenach up 3 19/04/18,
143,Isenach,up,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1,,n,Isenach up 3 19/04/18,
144,Dierbach,down,1,2018-04-16,Coleoptera,,,,,,1,,y,y,
145,Dierbach,down,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,44,,,,
146,Dierbach,down,1,2018-04-16,Diptera,Brachycera,,,,,1,,,,
147,Dierbach,down,1,2018-04-16,Sonstige,,,,,,3,"2 collembola, 1 Wanze",n,n,
148,Otterbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,1,,,,
149,Otterbach,up,1,2018-04-16,Diptera,Nematocera,Dixidae,,,,1,,,,
150,Otterbach,up,1,2018-04-16,Plecoptera,,Leuctridae,,Leuctra,,1,,,,
151,Klingbach,down,1,2018-04-16,Coleoptera,,,,,,1,,y,y,
152,Klingbach,down,1,2018-04-16,Hymenoptera,,,,,,1,,,,
153,Klingbach,down,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,2,,,,
154,Klingbach,down,1,2018-04-16,Diptera,Nematocera,Cecidomyiidae,,,,1,,,,
155,Russbach,up,1,2018-04-16,Coleoptera,,,,,,1,,y,Isenach up 1 18/04/18,
156,Russbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,6,,,,
157,Russbach,up,1,2018-04-16,Plecoptera,,Leuctridae,,Leuctra,,2,,,,
158,Russbach,down,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,3,,,,
159,Russbach,down,2,2018-04-16,Coleoptera,,,,,,7,,y,y,
160,Russbach,down,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,13,,,,
161,Russbach,down,2,2018-04-16,Hymenoptera,,,,,,1,,n,,
162,Russbach,down,2,2018-04-16,Sonstige,,,,,,5,"1 Ameise, 4 Collembola",,,
163,Otterbach,down,2,2018-04-16,Coleoptera,,,,,,3,,y,y,
164,Otterbach,down,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,39,"6 zermatscht und halbverdaut von spinnen, in müll geworfen",,,
165,Otterbach,down,2,2018-04-16,Arachnida,,Araneae,,,,2,,,,
166,Otterbach,down,2,2018-04-16,Hymenoptera,,,,,,1,,,,
167,Otterbach,down,2,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
168,Russbach,up,2,2018-04-16,Coleoptera,,,,,,2,,y,Isenach up 2 18/04/18,
169,Russbach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,4,,,,
170,Russbach,up,2,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
171,Russbach,up,2,2018-04-16,Plecoptera,,Leuctridae,,Leuctra,,1,,,,
172,Modenbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,7,,,,
173,Modenbach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,3,,,,
174,Modenbach,up,1,2018-04-16,Plecoptera,,Taeniopterygidae,,Brachyptera,,1,,,,
175,Modenbach,up,1,2018-04-16,Trichoptera,,Rhyacophilidae,,Rhyacophila,,1,"Sporne: 3/4/4; Ocellen, ",,,
176,Modenbach,up,1,2018-04-16,Diptera,,,,,,1,Fühler fehlen,,,
177,Hainbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,20,,,,
178,Hainbach,up,1,2018-04-16,Coleoptera,,,,,,3,,y,y,
179,Hainbach,up,1,2018-04-16,Hymenoptera,,,,,,2,,n,,
180,Hainbach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
181,Hainbach,up,1,2018-04-16,Diptera,Nematocera,Simuliidae,,,,1,,,,
182,Hainbach,up,1,2018-04-16,Plecoptera,,Nemouridae,,Nemoura,,1,,,,
183,Hainbach,up,1,2018-04-16,Diptera,Nematocera,Mycetophilidae,,,,1,,,,
184,Hainbach,up,1,2018-04-16,Sonstige,,,,,,viele,Collembola,n,,
185,Dierbach,up,2,2018-04-16,Hymenoptera,,,,,,3,,y,y,
186,Dierbach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,67,,,,
187,Dierbach,up,2,2018-04-16,Plecoptera,,Taeniopterygidae,,Brachyptera,,2,,,,
188,Dierbach,up,2,2018-04-16,Plecoptera,,Leuctridae,,Leuctra,,1,,,,
189,Triefenbach,up,1,2018-04-16,Coleoptera,,,,,,1,,y,y,
190,Triefenbach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
191,Triefenbach,up,1,2018-04-16,Plecoptera,,Nemouridae,,Nemoura,,1,,,,
192,Triefenbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,35,,,,
193,Klingbach,down,2,2018-04-16,Arachnida,,Araneae,,,,1,,y,y,
194,Klingbach,down,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,191,,,,
195,Klingbach,down,2,2018-04-16,Diptera,Nematocera,Psychodidae,,,,2,,,,
196,Klingbach,down,2,2018-04-16,Coleoptera,,,,,,6,,n,,
197,Klingbach,down,2,2018-04-16,Raupe,,,,,,1,,n,,
198,Klingbach,down,2,2018-04-16,Diptera,Nematocera,Cecidomyiidae,,,,2,,,,
199,Klingbach,up,2,2018-04-16,Arachnida,,Araneae,,,,1,,y,y,
200,Klingbach,up,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,16,,,,
201,Klingbach,up,2,2018-04-16,Coleoptera,,,,,,5,,n,,
202,Klingbach,up,2,2018-04-16,Hymenoptera,,,,,,2,,n,,
203,Klingbach,up,2,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,1,"nicht für Analyse nutzbar, nur noch einzelteile und halb vrdaut von spinnr",,,
204,Isenach,down,2,2018-04-16,Arachnida,,Araneae,,,,1,,y,Russbachdown216/04/18,
205,Isenach,down,2,2018-04-16,Diptera,Nematocera,Chironomidae,,,,189,,,,
206,Isenach,down,2,2018-04-16,Coleoptera,,,,,,23,,,,
207,Isenach,down,2,2018-04-16,Sonstige,,,,,,2,"1 Wasserläufer, 1 Assel",,,
208,Isenach,down,2,2018-04-16,Diptera,Nematocera,Psychodidae,,,,3,,,,
209,Isenach,down,2,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
210,Isenach,down,2,2018-04-16,Diptera,Nematocera,Ceratopogonidae,,,,2,,,,
211,Isenach,down,1,2018-04-19,Coleoptera,,,,,,10,,y,Isenach down 1 19/04/18,
212,Isenach,down,1,2018-04-19,Arachnida,,Araneae,,,,1,,,Isenach down 1 19/04/18,
213,Isenach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,167,,,Isenach down 1 19/04/18,
214,Isenach,down,1,2018-04-19,Sonstige,,,,,,4,"1 Biene/Hummel, 2 Wanzen, 1 Zikade",,Isenach down 1 19/04/18,
215,Isenach,down,1,2018-04-19,Hymenoptera,,,,,,1,,,Isenach down 1 19/04/18,
216,Isenach,down,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1,,,Isenach down 1 19/04/18,
217,Hainbach,down,2,2018-04-19,Coleoptera,,,,,,,,y,y,
218,Hainbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,17,,,,
219,Hainbach,down,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,20,,,,
220,Hainbach,down,2,2018-04-19,Diptera,Nematocera,Simuliidae,,,,1,,,,
221,Hainbach,down,2,2018-04-19,Hymenoptera,,,,,,1,,,,
222,Hainbach,down,2,2018-04-19,Diptera,Brachycera,Empididae,,,,5,,,,
223,Isenach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,168,,,,
224,Isenach,down,2,2018-04-19,Coleoptera,,,,,,3,,y,y,
225,Isenach,down,2,2018-04-19,Arachnida,,Araneae,,,,1,,n,,
226,Isenach,down,2,2018-04-19,Diptera,Nematocera,Psychodidae,,,,1,,,,
227,Isenach,down,2,2018-04-19,Diptera,Nematocera,Ceratopogonidae,,,,2,,,,
228,Modenbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,9,,,,
229,Modenbach,up,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,8,,,,
230,Modenbach,up,2,2018-04-19,Trichoptera,,,,,,1,"sehr verkrüppelt, nicht für Analyse nehmen, Ocellen, gleiches wie 284",,,
231,Isenach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,24,,,,
232,Isenach,up,1,2018-04-19,Diptera,Brachycera,,,,,1,,,,
233,Isenach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
234,Isenach,up,1,2018-04-19,Plecoptera,,Taeniopterygidae,,Brachyptera,,2,,,,
235,Isenach,up,1,2018-04-19,Trichoptera,,Goeridae,,,,1,"Gelbliche Vorderflügel mit schwarz ausgefüllten viereckigen mustern, alle wichtigen sachen für bestimmung abgebrochen… wahrscheinlich gleiche wie ID 344, keine Ocellen, Spornformel ?/4/? (2/4/4)",,,
236,Kaiserbach,down,2,2018-04-19,Coleoptera,,,,,,2,,y,y,
237,Kaiserbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,21,,,,
238,Kaiserbach,down,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,5,,,,
239,Kaiserbach,down,2,2018-04-19,Diptera,Brachycera,Empididae,,,,5,,,,
240,Dierbach,down,1,2018-04-19,Sonstige,,,,,,4,"1 Ameise, 3 Collembola",y,y,
241,Dierbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,76,,,,
242,Dierbach,down,1,2018-04-19,Diptera,Nematocera,Cecidomyiidae,,,,1,,,,
243,Dierbach,down,1,2018-04-19,Coleoptera,,,,,,2,,,vermutlich noch in eppiboy am campus,
244,Dierbach,down,1,2018-04-19,Diptera,Nematocera,Simuliidae,,,,2,,,,
245,Russbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,1,,,,
246,Russbach,up,2,2018-04-19,Coleoptera,,,,,,2,,y,y,
247,Russbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,4,,,,
248,Otterbach,up,2,2018-04-19,Arachnida,,Araneae,,,,1,,y,y,
249,Otterbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,1,,,,
250,Kaiserbach,up,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,16,,,,
251,Kaiserbach,up,1,2018-04-16,Coleoptera,,,,,,3,,y,y,
252,Kaiserbach,up,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,1,,,,
253,Kaiserbach,up,1,2018-04-16,Diptera,Nematocera,Simuliidae,,,,2,,,,
254,Kaiserbach,up,1,2018-04-16,Plecoptera,,Nemouridae,,Nemoura,,1,,,,
255,Otterbach,down,1,2018-04-16,Arachnida,,Araneae,,,,2,,y,y,
256,Otterbach,down,1,2018-04-16,Coleoptera,,,,,,24,,n,,
257,Otterbach,down,1,2018-04-16,Diptera,Nematocera,Chironomidae,,,,137,,,,
258,Otterbach,down,1,2018-04-16,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
259,Otterbach,down,1,2018-04-16,Sonstige,,,,,,1,Wanze,n,,
260,Modenbach,up,1,2018-04-23,Ephemeroptera,,Baetidae,,Baetis,,4,,,,
261,Modenbach,up,1,2018-04-23,Plecoptera,,Nemouridae,,Nemurella,pictetii,3,,,,
262,Modenbach,up,1,2018-04-23,Diptera,Nematocera,Simuliidae,,,,1,,,,
263,Hainbach,down,1,2018-04-19,Coleoptera,,,,,,2,,y,Hainbachdown219/04/18,
264,Hainbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,48,,,,
265,Hainbach,down,1,2018-04-19,Diptera,Nematocera,Simuliidae,,,,6,,,,
266,Hainbach,down,1,2018-04-19,Diptera,Brachycera,Empididae,,,,20,,,,
267,Hainbach,down,1,2018-04-19,Diptera,Brachycera,,,,,1,,,,
268,Kropsbach,up,2,2018-04-19,Coleoptera,,,,,,3,vermutlich Krobs up 2,y,Isenachup219/04/18,
269,Kropsbach,up,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,4,vermutlich Krobs up 2,,,
270,Kropsbach,up,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1,vermutlich Krobs up 2,,,
271,Dierbach,down,2,2018-04-19,Coleoptera,,,,,,1,,y,y,
272,Dierbach,down,2,2018-04-19,Diptera,Brachycera,,,,,1,,,,
273,Dierbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,33,,,,
274,Dierbach,down,2,2018-04-19,Diptera,Nematocera,Simuliidae,,,,1,,,,
275,Dierbach,down,2,2018-04-19,Sonstige,,,,,,3,"1 Zickade, 2 Collembola",n,,
276,Dierbach,down,2,2018-04-19,Hymenoptera,,,,,,1,,n,,
277,Triefenbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,6,,,,
278,Triefenbach,down,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
279,Triefenbach,up,1,2018-04-19,Coleoptera,,,,,,1,,y,y,
280,Triefenbach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,19,,,,
281,Triefenbach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
282,Modenbach,up,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,18,,,,
283,Modenbach,up,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,9,,,,
284,Modenbach,up,1,2018-04-19,Trichoptera,,,,,,1,"allle Bestimmungsrelevsnten sachen abgebrochen und deshalb nich weiter bestimmbar; Maxillarpalpen vermutlich 3 gliedrig, gleiches wie 230",,,
285,Modenbach,up,1,2018-04-19,Plecoptera,,Nemouridae,,Protonemura,,1,,,,
286,Modenbach,up,1,2018-04-19,Plecoptera,,Taeniopterygidae,,Brachyptera,,1,,,,
287,Triefenbach,down,2,2018-04-19,Diptera,Nematocera,Chironomidae,,,,18,,,,
288,Triefenbach,down,2,2018-04-19,Coleoptera,,,,,,3,,y,y,
289,Triefenbach,down,2,2018-04-19,Diptera,Nematocera,Simuliidae,,,,3,,,,
290,Triefenbach,down,2,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
291,Modenbach,down,1,2018-04-19,Coleoptera,,,,,,17,,y,y,
292,Modenbach,down,1,2018-04-19,Ephemeroptera,,Baetidae,,Baetis,,2,,,,
293,Modenbach,down,1,2018-04-19,Diptera,Nematocera,Chironomidae,,,,15,,,,
