"site","stream","pos_ord","position","trap","time","season","collection_days","area_trap","order","number_sample","biomass_sample","biomass_area_day_mg","number_area_day","day"
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-06-18,"summer",4,0.25,"Diptera",11,0.2708,0.2708,11,169
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-06-21,"summer",3,0.25,"Diptera",4,0.1132,0.150933333333333,5.33333333333333,172
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-06-25,"summer",4,0.25,"Diptera",29,1.3877,1.3877,29,176
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-06-28,"summer",3,0.25,"Diptera",19,0.7268,0.969066666666667,25.3333333333333,179
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-07-02,"summer",4,0.25,"Diptera",45,10.433,10.433,45,183
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-07-05,"summer",3,0.25,"Diptera",34,5.1028,6.80373333333333,45.3333333333333,186
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-07-09,"summer",4,0.25,"Diptera",9,0.8358,0.8358,9,190
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-07-12,"summer",3,0.25,"Diptera",19,2.8304,3.77386666666667,25.3333333333333,193
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-07-16,"summer",4,0.25,"Diptera",9,7.6677,7.6677,9,197
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-07-19,"summer",3,0.25,"Diptera",5,0.7103,0.947066666666667,6.66666666666667,200
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-07-23,"summer",4,0.25,"Diptera",3,0.055,0.055,3,204
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-07-26,"summer",3,0.25,"Diptera",8,0.0109,0.0145333333333333,10.6666666666667,207
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-07-30,"autumn",4,0.25,"Diptera",27,2.72,2.72,27,211
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-08-01,"autumn",2,0.25,"Diptera",10,0.6427,1.2854,20,213
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-08-06,"autumn",5,0.25,"Diptera",20,2.0473,1.63784,16,218
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-08-09,"autumn",3,0.25,"Diptera",14,0.3984,0.5312,18.6666666666667,221
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-08-13,"autumn",4,0.25,"Diptera",20,6.5584,6.5584,20,225
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-08-16,"autumn",3,0.25,"Diptera",6,0.1347,0.1796,8,228
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-08-20,"autumn",4,0.25,"Diptera",26,3.3186,3.3186,26,232
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-08-22,"autumn",2,0.25,"Diptera",3,0.0022,0.0044,6,234
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-08-27,"autumn",5,0.25,"Diptera",19,1.5249,1.21992,15.2,239
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-08-30,"autumn",3,0.25,"Diptera",5,0.1411,0.188133333333333,6.66666666666667,242
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-09-03,"autumn",4,0.25,"Diptera",1,1.3482,1.3482,1,246
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-09-06,"autumn",3,0.25,"Diptera",28,1.2111,1.6148,37.3333333333333,249
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-09-10,"autumn",4,0.25,"Diptera",4,0.2193,0.2193,4,253
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-09-12,"autumn",2,0.25,"Diptera",1,0.0382,0.0764,2,255
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-03-22,"spring",4,0.25,"Diptera",0,0,0,0,81
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-03-26,"spring",4,0.25,"Diptera",1,0.1465,0.1465,1,85
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-03-29,"spring",3,0.25,"Diptera",6,0.2357,0.314266666666667,8,88
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-04-03,"spring",5,0.25,"Diptera",5,1.3007,1.04056,4,93
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-04-06,"spring",3,0.25,"Diptera",26,1.485,1.98,34.6666666666667,96
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-04-09,"spring",3,0.25,"Diptera",9,0.7998,1.0664,12,99
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-04-12,"spring",3,0.25,"Diptera",63,3.3913,4.52173333333333,84,102
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-04-16,"spring",4,0.25,"Diptera",67,2.8597,2.8597,67,106
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-04-19,"spring",3,0.25,"Diptera",64,4.835,6.44666666666667,85.3333333333333,109
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-04-23,"spring",4,0.25,"Diptera",13,1.7243,1.7243,13,113
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-04-26,"spring",3,0.25,"Diptera",1,0.0994,0.132533333333333,1.33333333333333,116
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-04-30,"spring",4,0.25,"Diptera",12,1.2262,1.2262,12,120
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-05-03,"spring",3,0.25,"Diptera",6,0.902,1.20266666666667,8,123
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-05-07,"spring",4,0.25,"Diptera",29,2.6265,2.6265,29,127
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-05-10,"spring",3,0.25,"Diptera",18,0.5031,0.6708,24,130
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-05-14,"spring",4,0.25,"Diptera",3,0.9327,0.9327,3,134
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-05-17,"summer",3,0.25,"Diptera",3,0.6174,0.8232,4,137
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-05-22,"summer",5,0.25,"Diptera",2,0.1736,0.13888,1.6,142
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-05-28,"summer",4,0.25,"Diptera",4,0.3971,0.3971,4,148
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-05-30,"summer",2,0.25,"Diptera",3,0.2274,0.4548,6,150
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-06-04,"summer",5,0.25,"Diptera",3,0.1288,0.10304,2.4,155
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-06-08,"summer",4,0.25,"Diptera",3,0.0094,0.0094,3,159
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-06-14,"summer",3,0.25,"Diptera",3,0.4604,0.613866666666667,4,165
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-06-18,"summer",4,0.25,"Diptera",7,0.1903,0.1903,7,169
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-06-21,"summer",3,0.25,"Diptera",26,3.1267,4.16893333333333,34.6666666666667,172
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-06-25,"summer",4,0.25,"Diptera",8,0.2876,0.2876,8,176
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-06-28,"summer",3,0.25,"Diptera",35,1.093,1.45733333333333,46.6666666666667,179
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-07-02,"summer",4,0.25,"Diptera",20,1.6225,1.6225,20,183
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-07-05,"summer",3,0.25,"Diptera",4,0.1437,0.1916,5.33333333333333,186
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-07-09,"summer",4,0.25,"Diptera",35,3.9072,3.9072,35,190
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-07-12,"summer",3,0.25,"Diptera",32,3.4628,4.61706666666667,42.6666666666667,193
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-07-16,"summer",4,0.25,"Diptera",6,0.5669,0.5669,6,197
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-07-19,"summer",3,0.25,"Diptera",21,1.5931,2.12413333333333,28,200
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-07-23,"summer",4,0.25,"Diptera",13,1.3386,1.3386,13,204
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-07-26,"summer",3,0.25,"Diptera",18,1.0124,1.34986666666667,24,207
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-07-30,"autumn",4,0.25,"Diptera",7,0.772,0.772,7,211
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-08-01,"autumn",2,0.25,"Diptera",9,0.9549,1.9098,18,213
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-08-06,"autumn",5,0.25,"Diptera",6,0.4679,0.37432,4.8,218
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-08-09,"autumn",3,0.25,"Diptera",3,0.106,0.141333333333333,4,221
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-08-13,"autumn",4,0.25,"Diptera",18,1.3369,1.3369,18,225
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-08-16,"autumn",3,0.25,"Diptera",19,2.6887,3.58493333333333,25.3333333333333,228
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-08-20,"autumn",4,0.25,"Diptera",7,0.1267,0.1267,7,232
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-08-22,"autumn",2,0.25,"Diptera",10,0.9567,1.9134,20,234
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-08-27,"autumn",5,0.25,"Diptera",15,0.1849,0.14792,12,239
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-08-30,"autumn",3,0.25,"Diptera",8,0.0503,0.0670666666666667,10.6666666666667,242
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-09-03,"autumn",4,0.25,"Diptera",3,0.3257,0.3257,3,246
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-09-06,"autumn",3,0.25,"Diptera",3,5.3725,7.16333333333333,4,249
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-09-10,"autumn",4,0.25,"Diptera",14,1.3329,1.3329,14,253
"Dierbach_forest","Dierbach","forest_Diptera","forest",2,2018-09-12,"autumn",2,0.25,"Diptera",11,1.0227,2.0454,22,255
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-03-22,"spring",4,0.25,"Diptera",0,0,0,0,81
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-03-26,"spring",4,0.25,"Diptera",6,0.3407,0.3407,6,85
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-03-29,"spring",3,0.25,"Diptera",12,1.0071,1.3428,16,88
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-04-03,"spring",5,0.25,"Diptera",7,2.3192,1.85536,5.6,93
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-04-06,"spring",3,0.25,"Diptera",6,2.0645,2.75266666666667,8,96
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-04-09,"spring",3,0.25,"Diptera",62,3.5346,4.7128,82.6666666666667,99
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-04-12,"spring",3,0.25,"Diptera",24,1.3364,1.78186666666667,32,102
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-04-16,"spring",4,0.25,"Diptera",44,2.8979,2.8979,44,106
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-04-19,"spring",3,0.25,"Diptera",78,2.9147,3.88626666666667,104,109
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-04-23,"spring",4,0.25,"Diptera",6,0.7085,0.7085,6,113
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-04-26,"spring",3,0.25,"Diptera",51,2.6702,3.56026666666667,68,116
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-05-03,"spring",3,0.25,"Diptera",2,0.1015,0.135333333333333,2.66666666666667,123
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-05-07,"spring",4,0.25,"Diptera",23,2.167,2.167,23,127
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-05-10,"spring",3,0.25,"Diptera",7,2.4513,3.2684,9.33333333333333,130
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-05-14,"spring",4,0.25,"Diptera",1,0.1842,0.1842,1,134
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-05-24,"summer",2,0.25,"Diptera",1,0.006,0.012,2,144
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-05-28,"summer",4,0.25,"Diptera",3,0.4497,0.4497,3,148
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-05-30,"summer",2,0.25,"Diptera",6,0.1984,0.3968,12,150
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-06-04,"summer",5,0.25,"Diptera",1,0.0185,0.0148,0.8,155
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-06-08,"summer",4,0.25,"Diptera",4,0.7215,0.7215,4,159
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-06-11,"summer",3,0.25,"Diptera",13,1.8005,2.40066666666667,17.3333333333333,162
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-06-14,"summer",3,0.25,"Diptera",28,2.7324,3.6432,37.3333333333333,165
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-06-18,"summer",4,0.25,"Diptera",11,0.8318,0.8318,11,169
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-06-21,"summer",3,0.25,"Diptera",6,0.1234,0.164533333333333,8,172
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-06-25,"summer",4,0.25,"Diptera",21,0.4974,0.4974,21,176
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-06-28,"summer",3,0.25,"Diptera",11,0.1642,0.218933333333333,14.6666666666667,179
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-07-02,"summer",4,0.25,"Diptera",12,0.6643,0.6643,12,183
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-07-05,"summer",3,0.25,"Diptera",4,0.1077,0.1436,5.33333333333333,186
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-07-09,"summer",4,0.25,"Diptera",15,1.0718,1.0718,15,190
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-07-12,"summer",3,0.25,"Diptera",11,0.3285,0.438,14.6666666666667,193
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-07-16,"summer",4,0.25,"Diptera",13,1.112,1.112,13,197
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-07-18,"summer",2,0.25,"Diptera",5,0.3618,0.7236,10,199
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-07-23,"summer",5,0.25,"Diptera",12,0.0981,0.07848,9.6,204
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-07-26,"summer",3,0.25,"Diptera",11,0.9805,1.30733333333333,14.6666666666667,207
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-07-30,"autumn",4,0.25,"Diptera",12,0.6624,0.6624,12,211
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-08-01,"autumn",2,0.25,"Diptera",6,0.5065,1.013,12,213
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-08-06,"autumn",5,0.25,"Diptera",0,0,0,0,218
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-08-13,"autumn",4,0.25,"Diptera",4,0.1971,0.1971,4,225
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-08-20,"autumn",4,0.25,"Diptera",8,0.3037,0.3037,8,232
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-08-27,"autumn",5,0.25,"Diptera",1,0.0095,0.0076,0.8,239
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-08-30,"autumn",3,0.25,"Diptera",1,2.6265,3.502,1.33333333333333,242
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-09-03,"autumn",4,0.25,"Diptera",7,0.531,0.531,7,246
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-09-06,"autumn",3,0.25,"Diptera",1,0.0749,0.0998666666666667,1.33333333333333,249
"Dierbach_vine","Dierbach","vine_Diptera","vine",1,2018-09-12,"autumn",2,0.25,"Diptera",2,1.0953,2.1906,4,255
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-03-22,"spring",4,0.25,"Diptera",0,0,0,0,81
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-03-26,"spring",4,0.25,"Diptera",5,0.9894,0.9894,5,85
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-03-29,"spring",3,0.25,"Diptera",5,1.9441,2.59213333333333,6.66666666666667,88
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-04-03,"spring",5,0.25,"Diptera",35,2.5959,2.07672,28,93
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-04-06,"spring",3,0.25,"Diptera",13,3.0889,4.11853333333333,17.3333333333333,96
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-04-09,"spring",3,0.25,"Diptera",56,5.6185,7.49133333333333,74.6666666666667,99
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-04-12,"spring",3,0.25,"Diptera",70,5.7721,7.69613333333333,93.3333333333333,102
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-04-16,"spring",4,0.25,"Diptera",9,0.9246,0.9246,9,106
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-04-19,"spring",3,0.25,"Diptera",34,1.843,2.45733333333333,45.3333333333333,109
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-04-23,"spring",4,0.25,"Diptera",49,2.8067,2.8067,49,113
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-04-26,"spring",3,0.25,"Diptera",0,0,0,0,116
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-04-30,"spring",4,0.25,"Diptera",26,0.5184,0.5184,26,120
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-05-03,"spring",3,0.25,"Diptera",8,0.4757,0.634266666666667,10.6666666666667,123
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-05-07,"spring",4,0.25,"Diptera",53,2.2567,2.2567,53,127
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-05-10,"spring",3,0.25,"Diptera",9,0.6821,0.909466666666667,12,130
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-05-17,"summer",3,0.25,"Diptera",3,0.1337,0.178266666666667,4,137
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-05-22,"summer",5,0.25,"Diptera",1,1.1979,0.95832,0.8,142
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-05-28,"summer",4,0.25,"Diptera",3,0.5329,0.5329,3,148
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-05-30,"summer",2,0.25,"Diptera",3,0.04,0.08,6,150
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-06-08,"summer",4,0.25,"Diptera",4,0.0787,0.0787,4,159
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-06-11,"summer",3,0.25,"Diptera",7,3.0449,4.05986666666667,9.33333333333333,162
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-06-14,"summer",3,0.25,"Diptera",17,1.4496,1.9328,22.6666666666667,165
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-06-21,"summer",3,0.25,"Diptera",5,0.3201,0.4268,6.66666666666667,172
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-06-25,"summer",4,0.25,"Diptera",40,1.5284,1.5284,40,176
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-06-28,"summer",3,0.25,"Diptera",2,0.0974,0.129866666666667,2.66666666666667,179
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-07-02,"summer",4,0.25,"Diptera",1,0.0402,0.0402,1,183
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-07-05,"summer",3,0.25,"Diptera",6,0.229,0.305333333333333,8,186
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-07-12,"summer",3,0.25,"Diptera",18,1.2425,1.65666666666667,24,193
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-07-16,"summer",4,0.25,"Diptera",16,0.6599,0.6599,16,197
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-07-18,"summer",2,0.25,"Diptera",6,0.3452,0.6904,12,199
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-07-23,"summer",5,0.25,"Diptera",1,0.1296,0.10368,0.8,204
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-07-26,"summer",3,0.25,"Diptera",6,0.4309,0.574533333333333,8,207
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-07-30,"autumn",4,0.25,"Diptera",8,0.6791,0.6791,8,211
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-08-06,"autumn",5,0.25,"Diptera",3,0.4071,0.32568,2.4,218
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-08-20,"autumn",4,0.25,"Diptera",5,0.1196,0.1196,5,232
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-08-22,"autumn",2,0.25,"Diptera",2,0.0918,0.1836,4,234
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-08-27,"autumn",5,0.25,"Diptera",4,0.3774,0.30192,3.2,239
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-08-30,"autumn",3,0.25,"Diptera",5,0.4124,0.549866666666667,6.66666666666667,242
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-09-03,"autumn",4,0.25,"Diptera",1,0.0089,0.0089,1,246
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-09-06,"autumn",3,0.25,"Diptera",3,0.2412,0.3216,4,249
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-09-10,"autumn",4,0.25,"Diptera",3,0.0461,0.0461,3,253
"Dierbach_vine","Dierbach","vine_Diptera","vine",2,2018-09-12,"autumn",2,0.25,"Diptera",2,0.0609,0.1218,4,255
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-03-22,"spring",3,0.25,"Diptera",0,0,0,0,81
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-03-27,"spring",5,0.25,"Diptera",5,0.7818,0.62544,4,86
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-03-29,"spring",2,0.25,"Diptera",1,0.072,0.144,2,88
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-04-03,"spring",5,0.25,"Diptera",13,1.7113,1.36904,10.4,93
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-04-06,"spring",3,0.25,"Diptera",1,0.067,0.0893333333333333,1.33333333333333,96
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-04-09,"spring",3,0.25,"Diptera",13,1.1333,1.51106666666667,17.3333333333333,99
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-04-16,"spring",4,0.25,"Diptera",21,1.7343,1.7343,21,106
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-04-19,"spring",3,0.25,"Diptera",9,2.4678,3.2904,12,109
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-04-23,"spring",4,0.25,"Diptera",1,0.7101,0.7101,1,113
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-04-26,"spring",3,0.25,"Diptera",2,0.2745,0.366,2.66666666666667,116
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-05-03,"spring",3,0.25,"Diptera",4,4.7524,6.33653333333333,5.33333333333333,123
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-05-07,"spring",4,0.25,"Diptera",1,0.0062,0.0062,1,127
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-05-10,"spring",3,0.25,"Diptera",8,0.0327,0.0436,10.6666666666667,130
"Hainbach_forest","Hainbach","forest_Diptera","forest",1,2018-05-15,"spring",5,0.25,"Diptera",0,0,0,0,135
