"site","stream","position","trap","time","season","collection_days","area_trap","biomass_sample","number_sample","biomass_area_day_mg","number_area_day","day"
"Dierbach_forest","Dierbach","forest",1,2018-08-27,"autumn",5,0.25,3.4996,20,2.79968,16,239
"Dierbach_forest","Dierbach","forest",1,2018-08-30,"autumn",3,0.25,0.1411,5,0.188133333333333,6.66666666666667,242
"Dierbach_forest","Dierbach","forest",1,2018-09-03,"autumn",4,0.25,1.3482,1,1.3482,1,246
"Dierbach_forest","Dierbach","forest",1,2018-09-06,"autumn",3,0.25,1.2111,28,1.6148,37.3333333333333,249
"Dierbach_forest","Dierbach","forest",1,2018-09-10,"autumn",4,0.25,2.5775,5,2.5775,5,253
"Dierbach_forest","Dierbach","forest",1,2018-09-12,"autumn",2,0.25,3.1904,2,6.3808,4,255
"Dierbach_forest","Dierbach","forest",2,2018-03-22,"spring",4,0.25,0,0,0,0,81
"Dierbach_forest","Dierbach","forest",2,2018-03-26,"spring",4,0.25,0.1465,1,0.1465,1,85
"Dierbach_forest","Dierbach","forest",2,2018-03-29,"spring",3,0.25,0.2357,6,0.314266666666667,8,88
"Dierbach_forest","Dierbach","forest",2,2018-04-03,"spring",5,0.25,1.3007,5,1.04056,4,93
"Dierbach_forest","Dierbach","forest",2,2018-04-06,"spring",3,0.25,1.485,26,1.98,34.6666666666667,96
"Dierbach_forest","Dierbach","forest",2,2018-04-09,"spring",3,0.25,3.9086,12,5.21146666666667,16,99
"Dierbach_forest","Dierbach","forest",2,2018-04-12,"spring",3,0.25,3.8833,64,5.17773333333333,85.3333333333333,102
"Dierbach_forest","Dierbach","forest",2,2018-04-16,"spring",4,0.25,7.4208,70,7.4208,70,106
"Dierbach_forest","Dierbach","forest",2,2018-04-19,"spring",3,0.25,5.6031,65,7.4708,86.6666666666667,109
"Dierbach_forest","Dierbach","forest",2,2018-04-23,"spring",4,0.25,6.7917,21,6.7917,21,113
"Dierbach_forest","Dierbach","forest",2,2018-04-26,"spring",3,0.25,2.3088,5,3.0784,6.66666666666667,116
"Dierbach_forest","Dierbach","forest",2,2018-04-30,"spring",4,0.25,4.2605,14,4.2605,14,120
"Dierbach_forest","Dierbach","forest",2,2018-05-03,"spring",3,0.25,1.5618,7,2.0824,9.33333333333333,123
"Dierbach_forest","Dierbach","forest",2,2018-05-07,"spring",4,0.25,2.6265,29,2.6265,29,127
"Dierbach_forest","Dierbach","forest",2,2018-05-10,"spring",3,0.25,0.5031,18,0.6708,24,130
"Dierbach_forest","Dierbach","forest",2,2018-05-14,"spring",4,0.25,0.9327,3,0.9327,3,134
"Dierbach_forest","Dierbach","forest",2,2018-05-17,"summer",3,0.25,7.6807,4,10.2409333333333,5.33333333333333,137
"Dierbach_forest","Dierbach","forest",2,2018-05-22,"summer",5,0.25,2.7353,3,2.18824,2.4,142
"Dierbach_forest","Dierbach","forest",2,2018-05-28,"summer",4,0.25,5.4306,5,5.4306,5,148
"Dierbach_forest","Dierbach","forest",2,2018-05-30,"summer",2,0.25,0.2274,3,0.4548,6,150
"Dierbach_forest","Dierbach","forest",2,2018-06-04,"summer",5,0.25,0.1288,3,0.10304,2.4,155
"Dierbach_forest","Dierbach","forest",2,2018-06-08,"summer",4,0.25,0.0094,3,0.0094,3,159
"Dierbach_forest","Dierbach","forest",2,2018-06-14,"summer",3,0.25,0.4604,3,0.613866666666667,4,165
"Dierbach_forest","Dierbach","forest",2,2018-06-18,"summer",4,0.25,0.1903,7,0.1903,7,169
"Dierbach_forest","Dierbach","forest",2,2018-06-21,"summer",3,0.25,3.1267,26,4.16893333333333,34.6666666666667,172
"Dierbach_forest","Dierbach","forest",2,2018-06-25,"summer",4,0.25,0.2876,8,0.2876,8,176
"Dierbach_forest","Dierbach","forest",2,2018-06-28,"summer",3,0.25,1.093,35,1.45733333333333,46.6666666666667,179
"Dierbach_forest","Dierbach","forest",2,2018-07-02,"summer",4,0.25,1.6225,20,1.6225,20,183
"Dierbach_forest","Dierbach","forest",2,2018-07-05,"summer",3,0.25,0.1437,4,0.1916,5.33333333333333,186
"Dierbach_forest","Dierbach","forest",2,2018-07-09,"summer",4,0.25,3.9072,35,3.9072,35,190
"Dierbach_forest","Dierbach","forest",2,2018-07-12,"summer",3,0.25,3.4628,32,4.61706666666667,42.6666666666667,193
"Dierbach_forest","Dierbach","forest",2,2018-07-16,"summer",4,0.25,0.828,7,0.828,7,197
"Dierbach_forest","Dierbach","forest",2,2018-07-19,"summer",3,0.25,1.5931,21,2.12413333333333,28,200
"Dierbach_forest","Dierbach","forest",2,2018-07-23,"summer",4,0.25,1.5831,14,1.5831,14,204
"Dierbach_forest","Dierbach","forest",2,2018-07-26,"summer",3,0.25,1.0124,18,1.34986666666667,24,207
"Dierbach_forest","Dierbach","forest",2,2018-07-30,"autumn",4,0.25,0.772,7,0.772,7,211
"Dierbach_forest","Dierbach","forest",2,2018-08-01,"autumn",2,0.25,0.9549,9,1.9098,18,213
"Dierbach_forest","Dierbach","forest",2,2018-08-06,"autumn",5,0.25,0.4679,6,0.37432,4.8,218
"Dierbach_forest","Dierbach","forest",2,2018-08-09,"autumn",3,0.25,0.8645,4,1.15266666666667,5.33333333333333,221
"Dierbach_forest","Dierbach","forest",2,2018-08-13,"autumn",4,0.25,1.3369,18,1.3369,18,225
"Dierbach_forest","Dierbach","forest",2,2018-08-16,"autumn",3,0.25,2.6887,19,3.58493333333333,25.3333333333333,228
"Dierbach_forest","Dierbach","forest",2,2018-08-20,"autumn",4,0.25,0.1267,7,0.1267,7,232
"Dierbach_forest","Dierbach","forest",2,2018-08-22,"autumn",2,0.25,0.9567,10,1.9134,20,234
"Dierbach_forest","Dierbach","forest",2,2018-08-27,"autumn",5,0.25,0.1849,15,0.14792,12,239
"Dierbach_forest","Dierbach","forest",2,2018-08-30,"autumn",3,0.25,14.5959,9,19.4612,12,242
"Dierbach_forest","Dierbach","forest",2,2018-09-03,"autumn",4,0.25,0.3257,3,0.3257,3,246
"Dierbach_forest","Dierbach","forest",2,2018-09-06,"autumn",3,0.25,5.3725,3,7.16333333333333,4,249
"Dierbach_forest","Dierbach","forest",2,2018-09-10,"autumn",4,0.25,8.0911,15,8.0911,15,253
"Dierbach_forest","Dierbach","forest",2,2018-09-12,"autumn",2,0.25,1.0227,11,2.0454,22,255
"Dierbach_vine","Dierbach","vine",1,2018-03-22,"spring",4,0.25,0,0,0,0,81
"Dierbach_vine","Dierbach","vine",1,2018-03-26,"spring",4,0.25,0.3407,6,0.3407,6,85
"Dierbach_vine","Dierbach","vine",1,2018-03-29,"spring",3,0.25,1.0071,12,1.3428,16,88
"Dierbach_vine","Dierbach","vine",1,2018-04-03,"spring",5,0.25,2.3192,7,1.85536,5.6,93
"Dierbach_vine","Dierbach","vine",1,2018-04-06,"spring",3,0.25,2.0645,6,2.75266666666667,8,96
"Dierbach_vine","Dierbach","vine",1,2018-04-09,"spring",3,0.25,3.5346,62,4.7128,82.6666666666667,99
"Dierbach_vine","Dierbach","vine",1,2018-04-12,"spring",3,0.25,1.3364,24,1.78186666666667,32,102
"Dierbach_vine","Dierbach","vine",1,2018-04-16,"spring",4,0.25,2.8979,44,2.8979,44,106
"Dierbach_vine","Dierbach","vine",1,2018-04-19,"spring",3,0.25,2.9147,78,3.88626666666667,104,109
"Dierbach_vine","Dierbach","vine",1,2018-04-23,"spring",4,0.25,0.7085,6,0.7085,6,113
"Dierbach_vine","Dierbach","vine",1,2018-04-26,"spring",3,0.25,2.6702,51,3.56026666666667,68,116
"Dierbach_vine","Dierbach","vine",1,2018-05-03,"spring",3,0.25,0.1015,2,0.135333333333333,2.66666666666667,123
"Dierbach_vine","Dierbach","vine",1,2018-05-07,"spring",4,0.25,2.167,23,2.167,23,127
"Dierbach_vine","Dierbach","vine",1,2018-05-10,"spring",3,0.25,2.4513,7,3.2684,9.33333333333333,130
"Dierbach_vine","Dierbach","vine",1,2018-05-14,"spring",4,0.25,0.5731,2,0.5731,2,134
"Dierbach_vine","Dierbach","vine",1,2018-05-24,"summer",2,0.25,0.006,1,0.012,2,144
"Dierbach_vine","Dierbach","vine",1,2018-05-28,"summer",4,0.25,0.4497,3,0.4497,3,148
"Dierbach_vine","Dierbach","vine",1,2018-05-30,"summer",2,0.25,0.1984,6,0.3968,12,150
"Dierbach_vine","Dierbach","vine",1,2018-06-04,"summer",5,0.25,0.0185,1,0.0148,0.8,155
"Dierbach_vine","Dierbach","vine",1,2018-06-08,"summer",4,0.25,0.7215,4,0.7215,4,159
"Dierbach_vine","Dierbach","vine",1,2018-06-11,"summer",3,0.25,1.8005,13,2.40066666666667,17.3333333333333,162
"Dierbach_vine","Dierbach","vine",1,2018-06-14,"summer",3,0.25,2.7324,28,3.6432,37.3333333333333,165
"Dierbach_vine","Dierbach","vine",1,2018-06-18,"summer",4,0.25,0.8318,11,0.8318,11,169
"Dierbach_vine","Dierbach","vine",1,2018-06-21,"summer",3,0.25,0.1234,6,0.164533333333333,8,172
"Dierbach_vine","Dierbach","vine",1,2018-06-25,"summer",4,0.25,0.4974,21,0.4974,21,176
"Dierbach_vine","Dierbach","vine",1,2018-06-28,"summer",3,0.25,0.1642,11,0.218933333333333,14.6666666666667,179
"Dierbach_vine","Dierbach","vine",1,2018-07-02,"summer",4,0.25,0.6643,12,0.6643,12,183
"Dierbach_vine","Dierbach","vine",1,2018-07-05,"summer",3,0.25,0.1077,4,0.1436,5.33333333333333,186
"Dierbach_vine","Dierbach","vine",1,2018-07-09,"summer",4,0.25,1.0718,15,1.0718,15,190
"Dierbach_vine","Dierbach","vine",1,2018-07-12,"summer",3,0.25,0.3285,11,0.438,14.6666666666667,193
"Dierbach_vine","Dierbach","vine",1,2018-07-16,"summer",4,0.25,1.3399,14,1.3399,14,197
"Dierbach_vine","Dierbach","vine",1,2018-07-18,"summer",2,0.25,0.3618,5,0.7236,10,199
"Dierbach_vine","Dierbach","vine",1,2018-07-23,"summer",5,0.25,0.0981,12,0.07848,9.6,204
"Dierbach_vine","Dierbach","vine",1,2018-07-26,"summer",3,0.25,1.5271,12,2.03613333333333,16,207
"Dierbach_vine","Dierbach","vine",1,2018-07-30,"autumn",4,0.25,0.6624,12,0.6624,12,211
"Dierbach_vine","Dierbach","vine",1,2018-08-01,"autumn",2,0.25,0.5065,6,1.013,12,213
"Dierbach_vine","Dierbach","vine",1,2018-08-06,"autumn",5,0.25,3.703,1,2.9624,0.8,218
"Dierbach_vine","Dierbach","vine",1,2018-08-13,"autumn",4,0.25,0.1971,4,0.1971,4,225
"Dierbach_vine","Dierbach","vine",1,2018-08-20,"autumn",4,0.25,0.3037,8,0.3037,8,232
"Dierbach_vine","Dierbach","vine",1,2018-08-27,"autumn",5,0.25,0.0095,1,0.0076,0.8,239
"Dierbach_vine","Dierbach","vine",1,2018-08-30,"autumn",3,0.25,2.6265,1,3.502,1.33333333333333,242
"Dierbach_vine","Dierbach","vine",1,2018-09-03,"autumn",4,0.25,0.531,7,0.531,7,246
"Dierbach_vine","Dierbach","vine",1,2018-09-06,"autumn",3,0.25,0.0749,1,0.0998666666666667,1.33333333333333,249
"Dierbach_vine","Dierbach","vine",1,2018-09-12,"autumn",2,0.25,1.0953,2,2.1906,4,255
"Dierbach_vine","Dierbach","vine",2,2018-03-22,"spring",4,0.25,0,0,0,0,81
"Dierbach_vine","Dierbach","vine",2,2018-03-26,"spring",4,0.25,0.9894,5,0.9894,5,85
"Dierbach_vine","Dierbach","vine",2,2018-03-29,"spring",3,0.25,1.9441,5,2.59213333333333,6.66666666666667,88
"Dierbach_vine","Dierbach","vine",2,2018-04-03,"spring",5,0.25,2.5959,35,2.07672,28,93
"Dierbach_vine","Dierbach","vine",2,2018-04-06,"spring",3,0.25,3.0889,13,4.11853333333333,17.3333333333333,96
"Dierbach_vine","Dierbach","vine",2,2018-04-09,"spring",3,0.25,5.6185,56,7.49133333333333,74.6666666666667,99
"Dierbach_vine","Dierbach","vine",2,2018-04-12,"spring",3,0.25,5.7721,70,7.69613333333333,93.3333333333333,102
"Dierbach_vine","Dierbach","vine",2,2018-04-16,"spring",4,0.25,0.9246,9,0.9246,9,106
"Dierbach_vine","Dierbach","vine",2,2018-04-19,"spring",3,0.25,1.843,34,2.45733333333333,45.3333333333333,109
"Dierbach_vine","Dierbach","vine",2,2018-04-23,"spring",4,0.25,2.8067,49,2.8067,49,113
"Dierbach_vine","Dierbach","vine",2,2018-04-26,"spring",3,0.25,0,0,0,0,116
"Dierbach_vine","Dierbach","vine",2,2018-04-30,"spring",4,0.25,0.5184,26,0.5184,26,120
"Dierbach_vine","Dierbach","vine",2,2018-05-03,"spring",3,0.25,0.4757,8,0.634266666666667,10.6666666666667,123
"Dierbach_vine","Dierbach","vine",2,2018-05-07,"spring",4,0.25,2.6851,54,2.6851,54,127
"Dierbach_vine","Dierbach","vine",2,2018-05-10,"spring",3,0.25,0.6821,9,0.909466666666667,12,130
"Dierbach_vine","Dierbach","vine",2,2018-05-17,"summer",3,0.25,0.1337,3,0.178266666666667,4,137
"Dierbach_vine","Dierbach","vine",2,2018-05-22,"summer",5,0.25,1.1979,1,0.95832,0.8,142
"Dierbach_vine","Dierbach","vine",2,2018-05-28,"summer",4,0.25,0.5329,3,0.5329,3,148
"Dierbach_vine","Dierbach","vine",2,2018-05-30,"summer",2,0.25,0.04,3,0.08,6,150
"Dierbach_vine","Dierbach","vine",2,2018-06-08,"summer",4,0.25,0.0787,4,0.0787,4,159
"Dierbach_vine","Dierbach","vine",2,2018-06-11,"summer",3,0.25,3.0449,7,4.05986666666667,9.33333333333333,162
"Dierbach_vine","Dierbach","vine",2,2018-06-14,"summer",3,0.25,1.4496,17,1.9328,22.6666666666667,165
"Dierbach_vine","Dierbach","vine",2,2018-06-21,"summer",3,0.25,0.3201,5,0.4268,6.66666666666667,172
"Dierbach_vine","Dierbach","vine",2,2018-06-25,"summer",4,0.25,1.5284,40,1.5284,40,176
"Dierbach_vine","Dierbach","vine",2,2018-06-28,"summer",3,0.25,0.0974,2,0.129866666666667,2.66666666666667,179
"Dierbach_vine","Dierbach","vine",2,2018-07-02,"summer",4,0.25,0.0402,1,0.0402,1,183
"Dierbach_vine","Dierbach","vine",2,2018-07-05,"summer",3,0.25,0.229,6,0.305333333333333,8,186
"Dierbach_vine","Dierbach","vine",2,2018-07-12,"summer",3,0.25,1.8663,19,2.4884,25.3333333333333,193
"Dierbach_vine","Dierbach","vine",2,2018-07-16,"summer",4,0.25,0.6599,16,0.6599,16,197
"Dierbach_vine","Dierbach","vine",2,2018-07-18,"summer",2,0.25,0.3452,6,0.6904,12,199
"Dierbach_vine","Dierbach","vine",2,2018-07-23,"summer",5,0.25,0.1296,1,0.10368,0.8,204
"Dierbach_vine","Dierbach","vine",2,2018-07-26,"summer",3,0.25,0.4309,6,0.574533333333333,8,207
"Dierbach_vine","Dierbach","vine",2,2018-07-30,"autumn",4,0.25,0.6791,8,0.6791,8,211
"Dierbach_vine","Dierbach","vine",2,2018-08-06,"autumn",5,0.25,0.4071,3,0.32568,2.4,218
"Dierbach_vine","Dierbach","vine",2,2018-08-20,"autumn",4,0.25,0.1196,5,0.1196,5,232
"Dierbach_vine","Dierbach","vine",2,2018-08-22,"autumn",2,0.25,0.0918,2,0.1836,4,234
"Dierbach_vine","Dierbach","vine",2,2018-08-27,"autumn",5,0.25,0.3774,4,0.30192,3.2,239
"Dierbach_vine","Dierbach","vine",2,2018-08-30,"autumn",3,0.25,0.4124,5,0.549866666666667,6.66666666666667,242
"Dierbach_vine","Dierbach","vine",2,2018-09-03,"autumn",4,0.25,0.0089,1,0.0089,1,246
"Dierbach_vine","Dierbach","vine",2,2018-09-06,"autumn",3,0.25,0.2412,3,0.3216,4,249
"Dierbach_vine","Dierbach","vine",2,2018-09-10,"autumn",4,0.25,0.0461,3,0.0461,3,253
"Dierbach_vine","Dierbach","vine",2,2018-09-12,"autumn",2,0.25,0.0609,2,0.1218,4,255
"Hainbach_forest","Hainbach","forest",1,2018-03-22,"spring",3,0.25,0,0,0,0,81
"Hainbach_forest","Hainbach","forest",1,2018-03-27,"spring",5,0.25,0.7818,5,0.62544,4,86
"Hainbach_forest","Hainbach","forest",1,2018-03-29,"spring",2,0.25,0.072,1,0.144,2,88
"Hainbach_forest","Hainbach","forest",1,2018-04-03,"spring",5,0.25,1.7113,13,1.36904,10.4,93
"Hainbach_forest","Hainbach","forest",1,2018-04-06,"spring",3,0.25,0.067,1,0.0893333333333333,1.33333333333333,96
"Hainbach_forest","Hainbach","forest",1,2018-04-09,"spring",3,0.25,6.2034,15,8.2712,20,99
"Hainbach_forest","Hainbach","forest",1,2018-04-16,"spring",4,0.25,4.4014,23,4.4014,23,106
"Hainbach_forest","Hainbach","forest",1,2018-04-19,"spring",3,0.25,4.5043,10,6.00573333333333,13.3333333333333,109
"Hainbach_forest","Hainbach","forest",1,2018-04-23,"spring",4,0.25,0.7101,1,0.7101,1,113
"Hainbach_forest","Hainbach","forest",1,2018-04-26,"spring",3,0.25,0.2745,2,0.366,2.66666666666667,116
"Hainbach_forest","Hainbach","forest",1,2018-05-03,"spring",3,0.25,4.7524,4,6.33653333333333,5.33333333333333,123
"Hainbach_forest","Hainbach","forest",1,2018-05-07,"spring",4,0.25,0.0062,1,0.0062,1,127
"Hainbach_forest","Hainbach","forest",1,2018-05-10,"spring",3,0.25,0.0327,8,0.0436,10.6666666666667,130
"Hainbach_forest","Hainbach","forest",1,2018-05-15,"spring",5,0.25,2.6341,1,2.10728,0.8,135
"Hainbach_forest","Hainbach","forest",1,2018-05-22,"summer",5,0.25,0.0286,5,0.02288,4,142
"Hainbach_forest","Hainbach","forest",1,2018-05-24,"summer",2,0.25,0.7405,1,1.481,2,144
"Hainbach_forest","Hainbach","forest",1,2018-05-28,"summer",4,0.25,0.0934,1,0.0934,1,148
"Hainbach_forest","Hainbach","forest",1,2018-05-30,"summer",2,0.25,0.5827,8,1.1654,16,150
"Hainbach_forest","Hainbach","forest",1,2018-06-04,"summer",5,0.25,0.3919,3,0.31352,2.4,155
"Hainbach_forest","Hainbach","forest",1,2018-06-25,"summer",4,0.25,0.1191,9,0.1191,9,176
"Hainbach_forest","Hainbach","forest",1,2018-06-28,"summer",3,0.25,1.4418,8,1.9224,10.6666666666667,179
"Hainbach_forest","Hainbach","forest",1,2018-07-02,"summer",4,0.25,0.2773,13,0.2773,13,183
"Hainbach_forest","Hainbach","forest",1,2018-07-05,"summer",3,0.25,0.157,6,0.209333333333333,8,186
"Hainbach_forest","Hainbach","forest",1,2018-07-09,"summer",4,0.25,0.1278,6,0.1278,6,190
"Hainbach_forest","Hainbach","forest",1,2018-07-12,"summer",3,0.25,0.0123,1,0.0164,1.33333333333333,193
"Hainbach_forest","Hainbach","forest",1,2018-07-16,"summer",4,0.25,0.0078,1,0.0078,1,197
"Hainbach_forest","Hainbach","forest",1,2018-07-18,"summer",2,0.25,0.7179,4,1.4358,8,199
"Hainbach_forest","Hainbach","forest",1,2018-07-23,"summer",5,0.25,0.0569,5,0.04552,4,204
"Hainbach_forest","Hainbach","forest",1,2018-07-26,"summer",3,0.25,0.166,11,0.221333333333333,14.6666666666667,207
"Hainbach_forest","Hainbach","forest",1,2018-07-30,"autumn",4,0.25,0.1142,8,0.1142,8,211
"Hainbach_forest","Hainbach","forest",1,2018-08-01,"autumn",2,0.25,0.2046,17,0.4092,34,213
"Hainbach_forest","Hainbach","forest",1,2018-08-06,"autumn",5,0.25,0.0804,7,0.06432,5.6,218
"Hainbach_forest","Hainbach","forest",1,2018-08-09,"autumn",3,0.25,0.2609,49,0.347866666666667,65.3333333333333,221
"Hainbach_forest","Hainbach","forest",1,2018-08-13,"autumn",4,0.25,5.0956,1,5.0956,1,225
"Hainbach_forest","Hainbach","forest",1,2018-08-16,"autumn",3,0.25,0.1181,3,0.157466666666667,4,228
"Hainbach_forest","Hainbach","forest",1,2018-08-20,"autumn",4,0.25,1.6678,1,1.6678,1,232
"Hainbach_forest","Hainbach","forest",1,2018-09-04,"autumn",5,0.25,0.0108,2,0.00864,1.6,247
"Hainbach_forest","Hainbach","forest",1,2018-09-06,"autumn",2,0.25,9.7662,1,19.5324,2,249
"Hainbach_forest","Hainbach","forest",1,2018-09-13,"autumn",2,0.25,0.0054,1,0.0108,2,256
"Hainbach_forest","Hainbach","forest",2,2018-03-22,"spring",3,0.25,0,0,0,0,81
"Hainbach_forest","Hainbach","forest",2,2018-03-27,"spring",5,0.25,0.1057,1,0.08456,0.8,86
"Hainbach_forest","Hainbach","forest",2,2018-03-29,"spring",2,0.25,0.9137,1,1.8274,2,88
"Hainbach_forest","Hainbach","forest",2,2018-04-03,"spring",5,0.25,0,0,0,0,93
"Hainbach_forest","Hainbach","forest",2,2018-04-06,"spring",3,0.25,2.5181,22,3.35746666666667,29.3333333333333,96
"Hainbach_forest","Hainbach","forest",2,2018-04-09,"spring",3,0.25,0.1672,2,0.222933333333333,2.66666666666667,99
"Hainbach_forest","Hainbach","forest",2,2018-04-12,"spring",3,0.25,13.3601,35,17.8134666666667,46.6666666666667,102
"Hainbach_forest","Hainbach","forest",2,2018-04-16,"spring",4,0.25,0.1464,2,0.1464,2,106
"Hainbach_forest","Hainbach","forest",2,2018-04-19,"spring",3,0.25,0.0848,2,0.113066666666667,2.66666666666667,109
"Hainbach_forest","Hainbach","forest",2,2018-04-23,"spring",4,0.25,2.2865,20,2.2865,20,113
"Hainbach_forest","Hainbach","forest",2,2018-04-26,"spring",3,0.25,0,0,0,0,116
"Hainbach_forest","Hainbach","forest",2,2018-04-30,"spring",4,0.25,0.0498,1,0.0498,1,120
"Hainbach_forest","Hainbach","forest",2,2018-05-03,"spring",3,0.25,0,0,0,0,123
"Hainbach_forest","Hainbach","forest",2,2018-05-07,"spring",4,0.25,10.4211,23,10.4211,23,127
"Hainbach_forest","Hainbach","forest",2,2018-05-24,"summer",2,0.25,5.5101,2,11.0202,4,144
"Hainbach_forest","Hainbach","forest",2,2018-05-28,"summer",4,0.25,0.0628,1,0.0628,1,148
"Hainbach_forest","Hainbach","forest",2,2018-05-30,"summer",2,0.25,0,0,0,0,150
"Hainbach_forest","Hainbach","forest",2,2018-06-08,"summer",4,0.25,3.4333,6,3.4333,6,159
"Hainbach_forest","Hainbach","forest",2,2018-06-14,"summer",6,0.25,0.0891,2,0.0594,1.33333333333333,165
"Hainbach_forest","Hainbach","forest",2,2018-06-21,"summer",3,0.25,0.1575,1,0.21,1.33333333333333,172
"Hainbach_forest","Hainbach","forest",2,2018-06-25,"summer",4,0.25,0.0033,1,0.0033,1,176
"Hainbach_forest","Hainbach","forest",2,2018-06-28,"summer",3,0.25,0.0911,2,0.121466666666667,2.66666666666667,179
"Hainbach_forest","Hainbach","forest",2,2018-07-02,"summer",4,0.25,0.1302,5,0.1302,5,183
"Hainbach_forest","Hainbach","forest",2,2018-07-05,"summer",3,0.25,0.0045,3,0.006,4,186
