Site,Date,Variable,Direction,Qualifier,Value,Unit,Comment
Kaiserbach down,20/08/2018,comments,,,NA,,
Kaiserbach up,20/08/2018,min_width,,,70,cm,
Kaiserbach up,20/08/2018,max_width,,,112,cm,
Kaiserbach up,20/08/2018,width_1,,,100,cm,
Kaiserbach up,20/08/2018,width_2,,,105,cm,
Kaiserbach up,20/08/2018,width_3,,,84,cm,
Kaiserbach up,20/08/2018,depth_1,,,10,cm,
Kaiserbach up,20/08/2018,depth_2,,,20,cm,
Kaiserbach up,20/08/2018,depth_3,,,12,cm,
Kaiserbach up,20/08/2018,riffels in reach (50m),,,20,%,
Kaiserbach up,20/08/2018,pools in reach (50m),,,80,%,
Kaiserbach up,20/08/2018,Banks,,,zwei,,uferbänke
Kaiserbach up,20/08/2018,Shading Elements (southwards),,,70,%,
Kaiserbach up,20/08/2018,Flooding of shore,,,no,,
Kaiserbach up,20/08/2018,Islands/Banks,,,no,,
Kaiserbach up,20/08/2018,comments,,,NA,,
Isenach up,21/08/2018,min_width,,,180,cm,
Isenach up,21/08/2018,max_width,,,266,cm,
Isenach up,21/08/2018,width_1,,,196,cm,
Isenach up,21/08/2018,width_2,,,194,cm,
Isenach up,21/08/2018,width_3,,,246,cm,
Isenach up,21/08/2018,depth_1,,,11,cm,
Isenach up,21/08/2018,depth_2,,,12,cm,
Isenach up,21/08/2018,depth_3,,,8,cm,
Isenach up,21/08/2018,riffels in reach (50m),,,70,%,
Isenach up,21/08/2018,pools in reach (50m),,,30,%,
Isenach up,21/08/2018,Banks,,,a lot,,uferbänke
Isenach up,21/08/2018,Shading Elements (southwards),,,90,%,
Isenach up,21/08/2018,Flooding of shore,,,no,,
Isenach up,21/08/2018,Islands/Banks,,,no,,
Isenach up,21/08/2018,comments,,,NA,,
Isenach down,21/08/2018,min_width,,,380,cm,
Isenach down,21/08/2018,max_width,,,420,cm,
Isenach down,21/08/2018,width_1,,,400,cm,
Isenach down,21/08/2018,width_2,,,390,cm,
Isenach down,21/08/2018,width_3,,,410,cm,
Isenach down,21/08/2018,depth_1,,,50,cm,
Isenach down,21/08/2018,depth_2,,,55,cm,
Isenach down,21/08/2018,depth_3,,,40,cm,
Isenach down,21/08/2018,riffels in reach (50m),,,0,%,
Isenach down,21/08/2018,pools in reach (50m),,,100,%,
Isenach down,21/08/2018,Banks,,,no,,
Isenach down,21/08/2018,Shading Elements (southwards),,,50,%,
Isenach down,21/08/2018,Flooding of shore,,,no,,
Isenach down,21/08/2018,Islands/Banks,,,no,,
Isenach down,21/08/2018,comments,,,NA,,
Kropsbach down,21/08/2018,min_width,,,55,cm,
Kropsbach down,21/08/2018,max_width,,,135,cm,
Kropsbach down,21/08/2018,width_1,,,110,cm,
Kropsbach down,21/08/2018,width_2,,,80,cm,
Kropsbach down,21/08/2018,width_3,,,70,cm,
Kropsbach down,21/08/2018,depth_1,,,7,cm,
Kropsbach down,21/08/2018,depth_2,,,75,cm,
Kropsbach down,21/08/2018,depth_3,,,4,cm,
Kropsbach down,21/08/2018,riffels in reach (50m),,,90,%,
Kropsbach down,21/08/2018,pools in reach (50m),,,10,%,
Kropsbach down,21/08/2018,Banks,,,no,,
Kropsbach down,21/08/2018,Shading Elements (southwards),,,20,%,
Kropsbach down,21/08/2018,Flooding of shore,,,no,,
Kropsbach down,21/08/2018,Islands/Banks,,,no,,
Kropsbach down,21/08/2018,comments,,,NA,,
Kropsbach up,21/08/2018,min_width,,,45,cm,
Kropsbach up,21/08/2018,max_width,,,100,cm,
Kropsbach up,21/08/2018,width_1,,,54,cm,
Kropsbach up,21/08/2018,width_2,,,80,cm,
Kropsbach up,21/08/2018,width_3,,,83,cm,
Kropsbach up,21/08/2018,depth_1,,,2,cm,
Kropsbach up,21/08/2018,depth_2,,,6,cm,
Kropsbach up,21/08/2018,depth_3,,,14,cm,
Kropsbach up,21/08/2018,riffels in reach (50m),,,70,%,
Kropsbach up,21/08/2018,pools in reach (50m),,,30,%,
Kropsbach up,21/08/2018,Banks,,,several,,uferbänke
Kropsbach up,21/08/2018,Shading Elements (southwards),,,70,%,
Kropsbach up,21/08/2018,Flooding of shore,,,no,,
Kropsbach up,21/08/2018,Islands/Banks,,,several,,
Kropsbach up,21/08/2018,comments,,,NA,,
Triefenbach up,21/08/2018,min_width,,,136,cm,
Triefenbach up,21/08/2018,max_width,,,250,cm,
Triefenbach up,21/08/2018,width_1,,,140,cm,
Triefenbach up,21/08/2018,width_2,,,190,cm,
Triefenbach up,21/08/2018,width_3,,,165,cm,
Triefenbach up,21/08/2018,depth_1,,,6,cm,
Triefenbach up,21/08/2018,depth_2,,,3,cm,
Triefenbach up,21/08/2018,depth_3,,,10,cm,
Triefenbach up,21/08/2018,riffels in reach (50m),,,90,%,
Triefenbach up,21/08/2018,pools in reach (50m),,,10,%,
Triefenbach up,21/08/2018,Banks,,,eine,,Krümmungsbank
Triefenbach up,21/08/2018,Shading Elements (southwards),,,85,%,
Triefenbach up,21/08/2018,Flooding of shore,,,no,,
Triefenbach up,21/08/2018,Islands/Banks,,,one,,
Triefenbach up,21/08/2018,comments,,,NA,,
Triefenbach down,21/08/2018,min_width,,,140,cm,
Triefenbach down,21/08/2018,max_width,,,170,cm,
Triefenbach down,21/08/2018,width_1,,,150,cm,
Triefenbach down,21/08/2018,width_2,,,160,cm,
Triefenbach down,21/08/2018,width_3,,,163,cm,
Triefenbach down,21/08/2018,depth_1,,,11,cm,
Triefenbach down,21/08/2018,depth_2,,,11,cm,
Triefenbach down,21/08/2018,depth_3,,,20,cm,
Triefenbach down,21/08/2018,riffels in reach (50m),,,30,%,
Triefenbach down,21/08/2018,pools in reach (50m),,,70,%,
Triefenbach down,21/08/2018,Banks,,,one,,Krümmungsbank
Triefenbach down,21/08/2018,Shading Elements (southwards),,,90,%,
Triefenbach down,21/08/2018,Flooding of shore,,,yes,,
Triefenbach down,21/08/2018,Islands/Banks,,,no,,
Triefenbach down,21/08/2018,comments,,,NA,,
Modenbach up,21/08/2018,min_width,,,130,cm,
Modenbach up,21/08/2018,max_width,,,210,cm,
Modenbach up,21/08/2018,width_1,,,190,cm,
Modenbach up,21/08/2018,width_2,,,160,cm,
Modenbach up,21/08/2018,width_3,,,130,cm,
Modenbach up,21/08/2018,depth_1,,,5,cm,
Modenbach up,21/08/2018,depth_2,,,15,cm,
Modenbach up,21/08/2018,depth_3,,,13,cm,
Modenbach up,21/08/2018,riffels in reach (50m),,,80,%,
Modenbach up,21/08/2018,pools in reach (50m),,,20,%,
Modenbach up,21/08/2018,Banks,,,no,,
Modenbach up,21/08/2018,Shading Elements (southwards),,,80,%,
Modenbach up,21/08/2018,Flooding of shore,,,no,,
Modenbach up,21/08/2018,Islands/Banks,,,one,,
Modenbach up,21/08/2018,comments,,,NA,,
Modenbach down,21/08/2018,min_width,,,140,cm,
Modenbach down,21/08/2018,max_width,,,122,cm,
Modenbach down,21/08/2018,width_1,,,210,cm,
Modenbach down,21/08/2018,width_2,,,180,cm,
Modenbach down,21/08/2018,width_3,,,212,cm,
Modenbach down,21/08/2018,depth_1,,,15,cm,
Modenbach down,21/08/2018,depth_2,,,10,cm,
Modenbach down,21/08/2018,depth_3,,,12,cm,
Modenbach down,21/08/2018,riffels in reach (50m),,,80,%,
Modenbach down,21/08/2018,pools in reach (50m),,,20,%,
Modenbach down,21/08/2018,Banks,,,several,,uferbänke
Modenbach down,21/08/2018,Shading Elements (southwards),,,75,%,
Modenbach down,21/08/2018,Flooding of shore,,,no,,
Modenbach down,21/08/2018,Islands/Banks,,,no,,
Modenbach down,21/08/2018,comments,,,NA,,
Hainbach down,21/08/2018,min_width,,,60,cm,
Hainbach down,21/08/2018,max_width,,,98,cm,
Hainbach down,21/08/2018,width_1,,,72,cm,
Hainbach down,21/08/2018,width_2,,,83,cm,
Hainbach down,21/08/2018,width_3,,,76,cm,
Hainbach down,21/08/2018,depth_1,,,3,cm,
Hainbach down,21/08/2018,depth_2,,,15,cm,
Hainbach down,21/08/2018,depth_3,,,3,cm,
Hainbach down,21/08/2018,riffels in reach (50m),,,80,%,
Hainbach down,21/08/2018,pools in reach (50m),,,20,%,
Hainbach down,21/08/2018,Banks,,,several,,uferbänke
Hainbach down,21/08/2018,Shading Elements (southwards),,,95,%,
Hainbach down,21/08/2018,Flooding of shore,,,no,,
Hainbach down,21/08/2018,Islands/Banks,,,no,,
Hainbach down,21/08/2018,comments,,,NA,,
Hainbach up,21/08/2018,min_width,,,30,cm,
Hainbach up,21/08/2018,max_width,,,92,cm,
Hainbach up,21/08/2018,width_1,,,62,cm,
Hainbach up,21/08/2018,width_2,,,72,cm,
Hainbach up,21/08/2018,width_3,,,70,cm,
Hainbach up,21/08/2018,depth_1,,,14,cm,
Hainbach up,21/08/2018,depth_2,,,5,cm,
Hainbach up,21/08/2018,depth_3,,,2,cm,
Hainbach up,21/08/2018,riffels in reach (50m),,,40,%,
Hainbach up,21/08/2018,pools in reach (50m),,,60,%,
Hainbach up,21/08/2018,Banks,,,one,,uferbänke
Hainbach up,21/08/2018,Shading Elements (southwards),,,40,%,
Hainbach up,21/08/2018,Flooding of shore,,,no,,
Hainbach up,21/08/2018,Islands/Banks,,,no,,
Hainbach up,21/08/2018,comments,,,NA,,
Russbach up,03/26/2018,min_width,,,60,cm,
Russbach up,03/26/2018,max_width,,,180,cm,
Russbach up,03/26/2018,width_1,,,110,cm,
Russbach up,03/26/2018,width_2,,,100,cm,
Russbach up,03/26/2018,width_3,,,180,cm,
Russbach up,03/26/2018,depth_1,,,6.5,cm,
Russbach up,03/26/2018,depth_2,,,6,cm,
Russbach up,03/26/2018,depth_3,,,5.5,cm,
Russbach up,03/26/2018,riffels in reach (50m),,,80,%,
Russbach up,03/26/2018,pools in reach (50m),,,20,%,
Russbach down,03/26/2018,min_width,,,90,cm,
Russbach down,03/26/2018,max_width,,,110,cm,
Russbach down,03/26/2018,width_1,,,102,cm,
Russbach down,03/26/2018,width_2,,,104,cm,
Russbach down,03/26/2018,width_3,,,95,cm,
Russbach down,03/26/2018,depth_1,,,7,cm,
Russbach down,03/26/2018,depth_2,,,10,cm,
Russbach down,03/26/2018,depth_3,,,16,cm,
Russbach down,03/26/2018,riffels in reach (50m),,,70,%,
Russbach down,03/26/2018,pools in reach (50m),,,30,%,
Otterbach up,03/26/2018,min_width,,,100,cm,
Otterbach up,03/26/2018,max_width,,,200,cm,
Otterbach up,03/26/2018,width_1,,,170,cm,
Otterbach up,03/26/2018,width_2,,,110,cm,
Otterbach up,03/26/2018,width_3,,,107,cm,
Otterbach up,03/26/2018,depth_1,,,10,cm,
Otterbach up,03/26/2018,depth_2,,,12,cm,
Otterbach up,03/26/2018,depth_3,,,7,cm,
Otterbach up,03/26/2018,riffels in reach (50m),,,80,%,
Otterbach up,03/26/2018,pools in reach (50m),,,20,%,
Otterbach down,03/26/2018,min_width,,,110,cm,
Otterbach down,03/26/2018,max_width,,,180,cm,
Otterbach down,03/26/2018,width_1,,,120,cm,
Otterbach down,03/26/2018,width_2,,,140,cm,
Otterbach down,03/26/2018,width_3,,,160,cm,
Otterbach down,03/26/2018,depth_1,,,19,cm,
Otterbach down,03/26/2018,depth_2,,,12,cm,
Otterbach down,03/26/2018,depth_3,,,10,cm,
Otterbach down,03/26/2018,riffels in reach (50m),,,50,%,
Otterbach down,03/26/2018,pools in reach (50m),,,50,%,
Dierbach up,03/26/2018,min_width,,,50,cm,
Dierbach up,03/26/2018,max_width,,,140,cm,
Dierbach up,03/26/2018,width_1,,,130,cm,
Dierbach up,03/26/2018,width_2,,,100,cm,
Dierbach up,03/26/2018,width_3,,,65,cm,
Dierbach up,03/26/2018,depth_1,,,4,cm,
Dierbach up,03/26/2018,depth_2,,,7,cm,
Dierbach up,03/26/2018,depth_3,,,2,cm,
Dierbach up,03/26/2018,riffels in reach (50m),,,80,%,
Dierbach up,03/26/2018,pools in reach (50m),,,20,%,
Dierbach down,03/26/2018,min_width,,,60,cm,
Dierbach down,03/26/2018,max_width,,,100,cm,
Dierbach down,03/26/2018,width_1,,,80,cm,
Dierbach down,03/26/2018,width_2,,,82,cm,
Dierbach down,03/26/2018,width_3,,,67,cm,
Dierbach down,03/26/2018,depth_1,,,7,cm,
Dierbach down,03/26/2018,depth_2,,,12,cm,
Dierbach down,03/26/2018,depth_3,,,10,cm,
Dierbach down,03/26/2018,riffels in reach (50m),,,70,%,
Dierbach down,03/26/2018,pools in reach (50m),,,30,%,
Klingbach up,03/26/2018,min_width,,,220,cm,
Klingbach up,03/26/2018,max_width,,,400,cm,
Klingbach up,03/26/2018,width_1,,,260,cm,
Klingbach up,03/26/2018,width_2,,,320,cm,
Klingbach up,03/26/2018,width_3,,,240,cm,
Klingbach up,03/26/2018,depth_1,,,13.5,cm,
Klingbach up,03/26/2018,depth_2,,,6,cm,
Klingbach up,03/26/2018,depth_3,,,15,cm,
Klingbach up,03/26/2018,riffels in reach (50m),,,90,%,
Klingbach up,03/26/2018,pools in reach (50m),,,10,%,
Klingbach down,03/26/2018,min_width,,,210,cm,
Klingbach down,03/26/2018,max_width,,,310,cm,
Klingbach down,03/26/2018,width_1,,,290,cm,
Klingbach down,03/26/2018,width_2,,,260,cm,
Klingbach down,03/26/2018,width_3,,,290,cm,
Klingbach down,03/26/2018,depth_1,,,15,cm,
Klingbach down,03/26/2018,depth_2,,,17,cm,
Klingbach down,03/26/2018,depth_3,,,15,cm,
Klingbach down,03/26/2018,riffels in reach (50m),,,70,%,
Klingbach down,03/26/2018,pools in reach (50m),,,30,%,
Kaiserbach up,03/26/2018,min_width,,,105,cm,
Kaiserbach up,03/26/2018,max_width,,,120,cm,
Kaiserbach up,03/26/2018,width_1,,,115,cm,
Kaiserbach up,03/26/2018,width_2,,,115,cm,
Kaiserbach up,03/26/2018,width_3,,,110,cm,
Kaiserbach up,03/26/2018,depth_1,,,13,cm,
Kaiserbach up,03/26/2018,depth_2,,,12,cm,
Kaiserbach up,03/26/2018,depth_3,,,11,cm,
Kaiserbach up,03/26/2018,riffels in reach (50m),,,80,%,
Kaiserbach up,03/26/2018,pools in reach (50m),,,20,%,
Kaiserbach down,03/26/2018,min_width,,,150,cm,
Kaiserbach down,03/26/2018,max_width,,,300,cm,
Kaiserbach down,03/26/2018,width_1,,,195,cm,
Kaiserbach down,03/26/2018,width_2,,,180,cm,
Kaiserbach down,03/26/2018,width_3,,,240,cm,
Kaiserbach down,03/26/2018,depth_1,,,40,cm,
Kaiserbach down,03/26/2018,depth_2,,,37,cm,
Kaiserbach down,03/26/2018,depth_3,,,34,cm,
Kaiserbach down,03/26/2018,riffels in reach (50m),,,40,%,
Kaiserbach down,03/26/2018,pools in reach (50m),,,60,%,
Isenach up,03/27/2018,min_width,,,165,cm,
Isenach up,03/27/2018,max_width,,,300,cm,
Isenach up,03/27/2018,width_1,,,253,cm,
Isenach up,03/27/2018,width_2,,,195,cm,
Isenach up,03/27/2018,width_3,,,283,cm,
Isenach up,03/27/2018,depth_1,,,28,cm,
Isenach up,03/27/2018,depth_2,,,24,cm,
Isenach up,03/27/2018,depth_3,,,14,cm,
Isenach up,03/27/2018,riffels in reach (50m),,,70,%,
Isenach up,03/27/2018,pools in reach (50m),,,30,%,
Isenach down,03/27/2018,min_width,,,340,cm,
Isenach down,03/27/2018,max_width,,,450,cm,
Isenach down,03/27/2018,width_1,,,400,cm,
Isenach down,03/27/2018,width_2,,,365,cm,
Isenach down,03/27/2018,width_3,,,380,cm,
Isenach down,03/27/2018,depth_1,,,53,cm,
Isenach down,03/27/2018,depth_2,,,50,cm,
Isenach down,03/27/2018,depth_3,,,45,cm,
Isenach down,03/27/2018,riffels in reach (50m),,,30,%,
Isenach down,03/27/2018,pools in reach (50m),,,70,%,
Kropsbach up,03/27/2018,min_width,,,100,cm,
Kropsbach up,03/27/2018,max_width,,,200,cm,
Kropsbach up,03/27/2018,width_1,,,133,cm,
Kropsbach up,03/27/2018,width_2,,,150,cm,
Kropsbach up,03/27/2018,width_3,,,128,cm,
Kropsbach up,03/27/2018,depth_1,,,9,cm,
Kropsbach up,03/27/2018,depth_2,,,8,cm,
Kropsbach up,03/27/2018,depth_3,,,10,cm,
Kropsbach up,03/27/2018,riffels in reach (50m),,,80,%,
Kropsbach up,03/27/2018,pools in reach (50m),,,20,%,
Kropsbach down,03/27/2018,min_width,,,100,cm,
Kropsbach down,03/27/2018,max_width,,,220,cm,
Kropsbach down,03/27/2018,width_1,,,180,cm,
Kropsbach down,03/27/2018,width_2,,,180,cm,
Kropsbach down,03/27/2018,width_3,,,100,cm,
Kropsbach down,03/27/2018,depth_1,,,31,cm,
Kropsbach down,03/27/2018,depth_2,,,36,cm,
Kropsbach down,03/27/2018,depth_3,,,28,cm,
Kropsbach down,03/27/2018,riffels in reach (50m),,,70,%,
Kropsbach down,03/27/2018,pools in reach (50m),,,30,%,
Triefenbach up,03/27/2018,min_width,,,150,cm,
Triefenbach up,03/27/2018,max_width,,,320,cm,
Triefenbach up,03/27/2018,width_1,,,180,cm,
Triefenbach up,03/27/2018,width_2,,,280,cm,
Triefenbach up,03/27/2018,width_3,,,210,cm,
Triefenbach up,03/27/2018,depth_1,,,18,cm,
Triefenbach up,03/27/2018,depth_2,,,9,cm,
Triefenbach up,03/27/2018,depth_3,,,10,cm,
Triefenbach up,03/27/2018,riffels in reach (50m),,,90,%,
Triefenbach up,03/27/2018,pools in reach (50m),,,10,%,
Triefenbach down,03/27/2018,min_width,,,160,cm,
Triefenbach down,03/27/2018,max_width,,,220,cm,
Triefenbach down,03/27/2018,width_1,,,173,cm,
Triefenbach down,03/27/2018,width_2,,,181,cm,
Triefenbach down,03/27/2018,width_3,,,190,cm,
Triefenbach down,03/27/2018,depth_1,,,33,cm,
Triefenbach down,03/27/2018,depth_2,,,24,cm,
Triefenbach down,03/27/2018,depth_3,,,21,cm,
Triefenbach down,03/27/2018,riffels in reach (50m),,,70,%,
Triefenbach down,03/27/2018,pools in reach (50m),,,30,%,
Modenbach up,03/27/2018,min_width,,,140,cm,
Modenbach up,03/27/2018,max_width,,,220,cm,
Modenbach up,03/27/2018,width_1,,,185,cm,
Modenbach up,03/27/2018,width_2,,,155,cm,
Modenbach up,03/27/2018,width_3,,,160,cm,
Modenbach up,03/27/2018,depth_1,,,9,cm,
Modenbach up,03/27/2018,depth_2,,,16,cm,
Modenbach up,03/27/2018,depth_3,,,19,cm,
Modenbach up,03/27/2018,riffels in reach (50m),,,90,%,
Modenbach up,03/27/2018,pools in reach (50m),,,10,%,
Modenbach down,03/27/2018,min_width,,,190,cm,
Modenbach down,03/27/2018,max_width,,,320,cm,
Modenbach down,03/27/2018,width_1,,,200,cm,
Modenbach down,03/27/2018,width_2,,,253,cm,
Modenbach down,03/27/2018,width_3,,,266,cm,
Modenbach down,03/27/2018,depth_1,,,45,cm,
Modenbach down,03/27/2018,depth_2,,,19,cm,
Modenbach down,03/27/2018,depth_3,,,15,cm,
Modenbach down,03/27/2018,riffels in reach (50m),,,85,%,
Modenbach down,03/27/2018,pools in reach (50m),,,15,%,
Hainbach up,03/27/2018,min_width,,,90,cm,
Hainbach up,03/27/2018,max_width,,,140,cm,
Hainbach up,03/27/2018,width_1,,,110,cm,
Hainbach up,03/27/2018,width_2,,,95,cm,
Hainbach up,03/27/2018,width_3,,,112,cm,
Hainbach up,03/27/2018,depth_1,,,10,cm,
Hainbach up,03/27/2018,depth_2,,,16,cm,
Hainbach up,03/27/2018,depth_3,,,10,cm,
Hainbach up,03/27/2018,riffels in reach (50m),,,70,%,
Hainbach up,03/27/2018,pools in reach (50m),,,30,%,
Hainbach down,03/27/2018,min_width,,,75,cm,
Hainbach down,03/27/2018,max_width,,,140,cm,
Hainbach down,03/27/2018,width_1,,,120,cm,
Hainbach down,03/27/2018,width_2,,,88,cm,
Hainbach down,03/27/2018,width_3,,,120,cm,
Hainbach down,03/27/2018,depth_1,,,44,cm,
Hainbach down,03/27/2018,depth_2,,,47,cm,
Hainbach down,03/27/2018,depth_3,,,25,cm,
Hainbach down,03/27/2018,riffels in reach (50m),,,40,%,
Hainbach down,03/27/2018,pools in reach (50m),,,60,%,
Otterbach up,07/03/2018,min_width,,,100,cm,
Otterbach up,07/03/2018,max_width,,,150,cm,
Otterbach up,07/03/2018,width_1,,,150,cm,
Otterbach up,07/03/2018,width_2,,,100,cm,
